,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
51799,org.springframework.spring-aspects,2.0,2006-10-04,https://repo1.maven.org/maven2/org/springframework/spring-aspects/2.0/spring-aspects-2.0.jar,,,,,,,,2.0.1
51798,org.springframework.spring-aspects,2.0.1,2006-11-25,https://repo1.maven.org/maven2/org/springframework/spring-aspects/2.0.1/spring-aspects-2.0.1.jar,,,,,,,,2.0.2
51786,org.springframework.spring-aspects,2.0.2,2007-01-09,https://repo1.maven.org/maven2/org/springframework/spring-aspects/2.0.2/spring-aspects-2.0.2.jar,,,,,,,,2.0.3
51777,org.springframework.spring-aspects,2.0.3,2007-03-09,https://repo1.maven.org/maven2/org/springframework/spring-aspects/2.0.3/spring-aspects-2.0.3.jar,1,,,,,,,2.0.4
51778,org.springframework.spring-aspects,2.0.4,2007-04-10,https://repo1.maven.org/maven2/org/springframework/spring-aspects/2.0.4/spring-aspects-2.0.4.jar,1,0,0,0,0,0,0,2.0.5
51779,org.springframework.spring-aspects,2.0.5,2007-05-08,https://repo1.maven.org/maven2/org/springframework/spring-aspects/2.0.5/spring-aspects-2.0.5.jar,1,0,0,0,0,0,0,2.0.6
51780,org.springframework.spring-aspects,2.0.6,2007-06-19,https://repo1.maven.org/maven2/org/springframework/spring-aspects/2.0.6/spring-aspects-2.0.6.jar,1,0,0,0,0,0,0,2.0.7
51781,org.springframework.spring-aspects,2.0.7,2007-10-02,https://repo1.maven.org/maven2/org/springframework/spring-aspects/2.0.7/spring-aspects-2.0.7.jar,1,0,0,0,0,0,0,2.0.8
51782,org.springframework.spring-aspects,2.0.8,2008-01-10,https://repo1.maven.org/maven2/org/springframework/spring-aspects/2.0.8/spring-aspects-2.0.8.jar,1,0,0,0,0,0,0,2.5
51783,org.springframework.spring-aspects,2.5,2007-12-25,https://repo1.maven.org/maven2/org/springframework/spring-aspects/2.5/spring-aspects-2.5.jar,1,0,0,0,0,0,0,2.5.1
51784,org.springframework.spring-aspects,2.5.1,2008-01-10,https://repo1.maven.org/maven2/org/springframework/spring-aspects/2.5.1/spring-aspects-2.5.1.jar,1,0,0,0,0,0,0,2.5.2
51785,org.springframework.spring-aspects,2.5.2,2008-03-06,https://repo1.maven.org/maven2/org/springframework/spring-aspects/2.5.2/spring-aspects-2.5.2.jar,1,0,0,0,0,1,1,2.5.3
51787,org.springframework.spring-aspects,2.5.3,2008-04-07,https://repo1.maven.org/maven2/org/springframework/spring-aspects/2.5.3/spring-aspects-2.5.3.jar,1,0,0,0,0,0,0,2.5.4
51797,org.springframework.spring-aspects,2.5.4,2008-04-28,https://repo1.maven.org/maven2/org/springframework/spring-aspects/2.5.4/spring-aspects-2.5.4.jar,1,0,0,0,0,0,0,2.5.5
51788,org.springframework.spring-aspects,2.5.5,2008-06-23,https://repo1.maven.org/maven2/org/springframework/spring-aspects/2.5.5/spring-aspects-2.5.5.jar,1,0,0,0,0,0,0,2.5.6
51789,org.springframework.spring-aspects,2.5.6,2008-11-02,https://repo1.maven.org/maven2/org/springframework/spring-aspects/2.5.6/spring-aspects-2.5.6.jar,1,0,0,0,0,0,0,3.0.0
51790,org.springframework.spring-aspects,3.0.0,2009-12-17,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.0.0.RELEASE/spring-aspects-3.0.0.RELEASE.jar,1,0,0,0,0,0,0,3.0.1
51791,org.springframework.spring-aspects,3.0.1,2010-02-19,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.0.1.RELEASE/spring-aspects-3.0.1.RELEASE.jar,1,0,0,0,0,0,0,3.0.2
51792,org.springframework.spring-aspects,3.0.2,2010-04-02,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.0.2.RELEASE/spring-aspects-3.0.2.RELEASE.jar,1,0,0,0,0,0,0,3.0.3
51793,org.springframework.spring-aspects,3.0.3,2010-06-15,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.0.3.RELEASE/spring-aspects-3.0.3.RELEASE.jar,1,0,0,0,0,0,0,3.0.4
51794,org.springframework.spring-aspects,3.0.4,2010-08-19,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.0.4.RELEASE/spring-aspects-3.0.4.RELEASE.jar,1,0,0,0,0,0,0,3.0.5
51795,org.springframework.spring-aspects,3.0.5,2010-10-20,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.0.5.RELEASE/spring-aspects-3.0.5.RELEASE.jar,1,0,0,0,0,0,0,3.0.6
51796,org.springframework.spring-aspects,3.0.6,2011-08-19,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.0.6.RELEASE/spring-aspects-3.0.6.RELEASE.jar,1,0,0,0,0,0,0,3.0.7
51729,org.springframework.spring-aspects,3.0.7,2011-12-23,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.0.7.RELEASE/spring-aspects-3.0.7.RELEASE.jar,1,0,0,0,0,0,0,3.1.0
51728,org.springframework.spring-aspects,3.1.0,2011-12-13,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.1.0.RELEASE/spring-aspects-3.1.0.RELEASE.jar,1,0,0,0,0,0,0,3.1.1
51727,org.springframework.spring-aspects,3.1.1,2012-02-16,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.1.1.RELEASE/spring-aspects-3.1.1.RELEASE.jar,1,0,0,0,0,0,0,3.1.2
51726,org.springframework.spring-aspects,3.1.2,2012-07-07,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.1.2.RELEASE/spring-aspects-3.1.2.RELEASE.jar,1,0,0,0,0,0,0,3.1.3
51657,org.springframework.spring-aspects,3.1.3,2012-10-31,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.1.3.RELEASE/spring-aspects-3.1.3.RELEASE.jar,1,0,0,0,0,0,0,3.1.4
51658,org.springframework.spring-aspects,3.1.4,2013-01-23,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.1.4.RELEASE/spring-aspects-3.1.4.RELEASE.jar,1,0,0,0,0,0,0,3.2.0
51659,org.springframework.spring-aspects,3.2.0,2012-12-13,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.2.0.RELEASE/spring-aspects-3.2.0.RELEASE.jar,1,0,0,0,0,0,0,3.2.1
51660,org.springframework.spring-aspects,3.2.1,2013-01-24,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.2.1.RELEASE/spring-aspects-3.2.1.RELEASE.jar,1,0,0,0,0,0,0,3.2.2
51661,org.springframework.spring-aspects,3.2.2,2013-03-13,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.2.2.RELEASE/spring-aspects-3.2.2.RELEASE.jar,1,0,0,0,0,0,0,3.2.3
51662,org.springframework.spring-aspects,3.2.3,2013-05-20,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.2.3.RELEASE/spring-aspects-3.2.3.RELEASE.jar,1,0,0,0,0,0,0,3.2.4
51663,org.springframework.spring-aspects,3.2.4,2013-08-06,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.2.4.RELEASE/spring-aspects-3.2.4.RELEASE.jar,1,0,0,0,0,0,0,3.2.5
51664,org.springframework.spring-aspects,3.2.5,2013-11-07,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.2.5.RELEASE/spring-aspects-3.2.5.RELEASE.jar,1,0,0,0,0,0,0,3.2.6
51665,org.springframework.spring-aspects,3.2.6,2013-12-12,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.2.6.RELEASE/spring-aspects-3.2.6.RELEASE.jar,1,0,0,0,0,0,0,3.2.7
51667,org.springframework.spring-aspects,3.2.7,2014-01-28,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.2.7.RELEASE/spring-aspects-3.2.7.RELEASE.jar,1,0,0,0,0,0,0,3.2.8
51677,org.springframework.spring-aspects,3.2.8,2014-02-19,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.2.8.RELEASE/spring-aspects-3.2.8.RELEASE.jar,1,0,0,0,0,0,0,3.2.9
51668,org.springframework.spring-aspects,3.2.9,2014-05-20,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.2.9.RELEASE/spring-aspects-3.2.9.RELEASE.jar,1,0,0,0,0,0,0,3.2.10
51669,org.springframework.spring-aspects,3.2.10,2014-07-16,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.2.10.RELEASE/spring-aspects-3.2.10.RELEASE.jar,1,0,0,0,0,0,0,3.2.11
51670,org.springframework.spring-aspects,3.2.11,2014-09-04,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.2.11.RELEASE/spring-aspects-3.2.11.RELEASE.jar,1,0,0,0,0,0,0,3.2.12
51671,org.springframework.spring-aspects,3.2.12,2014-11-11,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.2.12.RELEASE/spring-aspects-3.2.12.RELEASE.jar,1,0,0,0,0,0,0,3.2.13
51672,org.springframework.spring-aspects,3.2.13,2014-12-30,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.2.13.RELEASE/spring-aspects-3.2.13.RELEASE.jar,1,0,0,0,0,0,0,3.2.14
51673,org.springframework.spring-aspects,3.2.14,2015-06-30,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.2.14.RELEASE/spring-aspects-3.2.14.RELEASE.jar,1,0,0,0,0,0,0,3.2.15
51674,org.springframework.spring-aspects,3.2.15,2015-10-15,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.2.15.RELEASE/spring-aspects-3.2.15.RELEASE.jar,1,0,0,0,0,0,0,3.2.16
51675,org.springframework.spring-aspects,3.2.16,2015-12-17,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.2.16.RELEASE/spring-aspects-3.2.16.RELEASE.jar,1,0,0,0,0,0,0,3.2.17
51676,org.springframework.spring-aspects,3.2.17,2016-05-06,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.2.17.RELEASE/spring-aspects-3.2.17.RELEASE.jar,1,0,0,0,0,0,0,3.2.18
51656,org.springframework.spring-aspects,3.2.18,2016-12-21,https://repo1.maven.org/maven2/org/springframework/spring-aspects/3.2.18.RELEASE/spring-aspects-3.2.18.RELEASE.jar,1,0,0,0,0,0,0,4.0.0
51666,org.springframework.spring-aspects,4.0.0,2013-12-12,https://repo1.maven.org/maven2/org/springframework/spring-aspects/4.0.0.RELEASE/spring-aspects-4.0.0.RELEASE.jar,1,0,0,0,0,0,0,4.0.1
51655,org.springframework.spring-aspects,4.0.1,2014-01-28,https://repo1.maven.org/maven2/org/springframework/spring-aspects/4.0.1.RELEASE/spring-aspects-4.0.1.RELEASE.jar,1,0,0,0,0,0,0,4.0.2
51642,org.springframework.spring-aspects,4.0.2,2014-02-19,https://repo1.maven.org/maven2/org/springframework/spring-aspects/4.0.2.RELEASE/spring-aspects-4.0.2.RELEASE.jar,1,0,0,0,0,0,0,4.0.3
51633,org.springframework.spring-aspects,4.0.3,2014-03-27,https://repo1.maven.org/maven2/org/springframework/spring-aspects/4.0.3.RELEASE/spring-aspects-4.0.3.RELEASE.jar,1,0,0,0,0,0,0,4.0.4
51634,org.springframework.spring-aspects,4.0.4,2014-04-30,https://repo1.maven.org/maven2/org/springframework/spring-aspects/4.0.4.RELEASE/spring-aspects-4.0.4.RELEASE.jar,1,0,0,0,0,0,0,4.0.5
