,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
84842,org.springframework.spring-context,1.0,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-context/1.0/spring-context-1.0.jar,4,,,,,,,1.0.1
84841,org.springframework.spring-context,1.0.1,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-context/1.0.1/spring-context-1.0.1.jar,4,0,0,0,0,0,0,1.1
84840,org.springframework.spring-context,1.1,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-context/1.1/spring-context-1.1.jar,5,0,0,0,0,1,0,1.1.1
84839,org.springframework.spring-context,1.1.1,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-context/1.1.1/spring-context-1.1.1.jar,6,1,0,0,0,0,0,1.1.2
84838,org.springframework.spring-context,1.1.2,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-context/1.1.2/spring-context-1.1.2.jar,6,0,0,0,0,0,0,1.1.3
84837,org.springframework.spring-context,1.1.3,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-context/1.1.3/spring-context-1.1.3.jar,6,0,0,0,0,0,0,1.1.4
84844,org.springframework.spring-context,1.1.4,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-context/1.1.4/spring-context-1.1.4.jar,7,1,0,0,0,0,0,1.1.5
84845,org.springframework.spring-context,1.1.5,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-context/1.1.5/spring-context-1.1.5.jar,7,0,0,0,0,0,0,1.2
84855,org.springframework.spring-context,1.2,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-context/1.2/spring-context-1.2.jar,4,0,0,0,0,0,3,1.2.1
84854,org.springframework.spring-context,1.2.1,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-context/1.2.1/spring-context-1.2.1.jar,4,0,0,0,0,0,0,1.2.2
84853,org.springframework.spring-context,1.2.2,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-context/1.2.2/spring-context-1.2.2.jar,4,0,0,0,0,0,0,1.2.3
