,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
76062,org.springframework.spring-tx,2.5,2007-12-25,https://repo1.maven.org/maven2/org/springframework/spring-tx/2.5/spring-tx-2.5.jar,23,,,,,,,2.5.1
76061,org.springframework.spring-tx,2.5.1,2008-01-10,https://repo1.maven.org/maven2/org/springframework/spring-tx/2.5.1/spring-tx-2.5.1.jar,23,0,0,0,0,0,0,2.5.2
76066,org.springframework.spring-tx,2.5.2,2008-03-06,https://repo1.maven.org/maven2/org/springframework/spring-tx/2.5.2/spring-tx-2.5.2.jar,23,0,0,0,0,0,0,2.5.3
76060,org.springframework.spring-tx,2.5.3,2008-04-07,https://repo1.maven.org/maven2/org/springframework/spring-tx/2.5.3/spring-tx-2.5.3.jar,23,0,0,0,0,0,0,2.5.4
76058,org.springframework.spring-tx,2.5.4,2008-04-28,https://repo1.maven.org/maven2/org/springframework/spring-tx/2.5.4/spring-tx-2.5.4.jar,23,0,0,0,0,0,0,2.5.5
76057,org.springframework.spring-tx,2.5.5,2008-06-23,https://repo1.maven.org/maven2/org/springframework/spring-tx/2.5.5/spring-tx-2.5.5.jar,25,0,0,1,0,2,1,2.5.6
76056,org.springframework.spring-tx,2.5.6,2008-11-02,https://repo1.maven.org/maven2/org/springframework/spring-tx/2.5.6/spring-tx-2.5.6.jar,25,0,0,0,0,0,0,3.0.0
76055,org.springframework.spring-tx,3.0.0,2009-12-17,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.0.0.RELEASE/spring-tx-3.0.0.RELEASE.jar,26,0,0,0,0,1,0,3.0.1
76054,org.springframework.spring-tx,3.0.1,2010-02-19,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.0.1.RELEASE/spring-tx-3.0.1.RELEASE.jar,26,0,0,0,0,0,0,3.0.2
76059,org.springframework.spring-tx,3.0.2,2010-04-02,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.0.2.RELEASE/spring-tx-3.0.2.RELEASE.jar,26,0,0,0,0,0,0,3.0.3
76067,org.springframework.spring-tx,3.0.3,2010-06-15,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.0.3.RELEASE/spring-tx-3.0.3.RELEASE.jar,26,0,0,0,0,0,0,3.0.4
76068,org.springframework.spring-tx,3.0.4,2010-08-19,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.0.4.RELEASE/spring-tx-3.0.4.RELEASE.jar,26,0,0,0,0,0,0,3.0.5
76069,org.springframework.spring-tx,3.0.5,2010-10-20,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.0.5.RELEASE/spring-tx-3.0.5.RELEASE.jar,26,0,0,0,0,0,0,3.0.6
76088,org.springframework.spring-tx,3.0.6,2011-08-19,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.0.6.RELEASE/spring-tx-3.0.6.RELEASE.jar,26,0,0,0,0,0,0,3.0.7
76087,org.springframework.spring-tx,3.0.7,2011-12-23,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.0.7.RELEASE/spring-tx-3.0.7.RELEASE.jar,26,0,0,0,0,0,0,3.1.0
76086,org.springframework.spring-tx,3.1.0,2011-12-13,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.1.0.RELEASE/spring-tx-3.1.0.RELEASE.jar,26,0,0,0,0,0,0,3.1.1
76085,org.springframework.spring-tx,3.1.1,2012-02-16,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.1.1.RELEASE/spring-tx-3.1.1.RELEASE.jar,26,0,0,0,0,0,0,3.1.2
76084,org.springframework.spring-tx,3.1.2,2012-07-07,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.1.2.RELEASE/spring-tx-3.1.2.RELEASE.jar,26,0,0,0,0,0,0,3.1.3
76083,org.springframework.spring-tx,3.1.3,2012-10-31,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.1.3.RELEASE/spring-tx-3.1.3.RELEASE.jar,26,0,0,0,0,0,0,3.1.4
76082,org.springframework.spring-tx,3.1.4,2013-01-23,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.1.4.RELEASE/spring-tx-3.1.4.RELEASE.jar,26,0,0,0,0,0,0,3.2.0
76081,org.springframework.spring-tx,3.2.0,2012-12-13,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.2.0.RELEASE/spring-tx-3.2.0.RELEASE.jar,26,0,0,0,0,0,0,3.2.1
76080,org.springframework.spring-tx,3.2.1,2013-01-24,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.2.1.RELEASE/spring-tx-3.2.1.RELEASE.jar,26,0,0,0,0,0,0,3.2.2
76079,org.springframework.spring-tx,3.2.2,2013-03-13,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.2.2.RELEASE/spring-tx-3.2.2.RELEASE.jar,26,0,0,0,2,2,0,3.2.3
76078,org.springframework.spring-tx,3.2.3,2013-05-20,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.2.3.RELEASE/spring-tx-3.2.3.RELEASE.jar,26,0,0,0,0,0,0,3.2.4
76077,org.springframework.spring-tx,3.2.4,2013-08-06,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.2.4.RELEASE/spring-tx-3.2.4.RELEASE.jar,26,0,0,0,0,0,0,3.2.5
76076,org.springframework.spring-tx,3.2.5,2013-11-07,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.2.5.RELEASE/spring-tx-3.2.5.RELEASE.jar,26,0,0,0,0,0,0,3.2.6
76075,org.springframework.spring-tx,3.2.6,2013-12-12,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.2.6.RELEASE/spring-tx-3.2.6.RELEASE.jar,26,0,0,0,0,0,0,3.2.7
76074,org.springframework.spring-tx,3.2.7,2014-01-28,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.2.7.RELEASE/spring-tx-3.2.7.RELEASE.jar,26,0,0,0,0,0,0,3.2.8
76073,org.springframework.spring-tx,3.2.8,2014-02-19,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.2.8.RELEASE/spring-tx-3.2.8.RELEASE.jar,26,0,0,0,0,0,0,3.2.9
76072,org.springframework.spring-tx,3.2.9,2014-05-20,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.2.9.RELEASE/spring-tx-3.2.9.RELEASE.jar,26,0,0,0,0,0,0,3.2.10
76071,org.springframework.spring-tx,3.2.10,2014-07-16,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.2.10.RELEASE/spring-tx-3.2.10.RELEASE.jar,26,0,0,0,0,0,0,3.2.11
76070,org.springframework.spring-tx,3.2.11,2014-09-04,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.2.11.RELEASE/spring-tx-3.2.11.RELEASE.jar,26,0,0,0,0,0,0,3.2.12
76113,org.springframework.spring-tx,3.2.12,2014-11-11,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.2.12.RELEASE/spring-tx-3.2.12.RELEASE.jar,26,0,0,0,0,0,0,3.2.13
76127,org.springframework.spring-tx,3.2.13,2014-12-30,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.2.13.RELEASE/spring-tx-3.2.13.RELEASE.jar,26,0,0,0,0,0,0,3.2.14
76128,org.springframework.spring-tx,3.2.14,2015-06-30,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.2.14.RELEASE/spring-tx-3.2.14.RELEASE.jar,26,0,0,0,0,0,0,3.2.15
76129,org.springframework.spring-tx,3.2.15,2015-10-15,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.2.15.RELEASE/spring-tx-3.2.15.RELEASE.jar,26,0,0,0,0,0,0,3.2.16
76194,org.springframework.spring-tx,3.2.16,2015-12-17,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.2.16.RELEASE/spring-tx-3.2.16.RELEASE.jar,26,0,0,0,0,0,0,3.2.17
76193,org.springframework.spring-tx,3.2.17,2016-05-06,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.2.17.RELEASE/spring-tx-3.2.17.RELEASE.jar,26,0,0,0,0,0,0,3.2.18
76192,org.springframework.spring-tx,3.2.18,2016-12-21,https://repo1.maven.org/maven2/org/springframework/spring-tx/3.2.18.RELEASE/spring-tx-3.2.18.RELEASE.jar,26,0,0,0,0,0,0,4.0.0
76191,org.springframework.spring-tx,4.0.0,2013-12-12,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.0.0.RELEASE/spring-tx-4.0.0.RELEASE.jar,26,0,0,0,0,1,2,4.0.1
76190,org.springframework.spring-tx,4.0.1,2014-01-28,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.0.1.RELEASE/spring-tx-4.0.1.RELEASE.jar,26,0,0,0,0,0,0,4.0.2
76189,org.springframework.spring-tx,4.0.2,2014-02-19,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.0.2.RELEASE/spring-tx-4.0.2.RELEASE.jar,26,0,0,0,0,0,0,4.0.3
76188,org.springframework.spring-tx,4.0.3,2014-03-27,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.0.3.RELEASE/spring-tx-4.0.3.RELEASE.jar,26,0,0,0,0,0,0,4.0.4
76187,org.springframework.spring-tx,4.0.4,2014-04-30,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.0.4.RELEASE/spring-tx-4.0.4.RELEASE.jar,26,0,0,0,0,0,0,4.0.5
76186,org.springframework.spring-tx,4.0.5,2014-05-20,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.0.5.RELEASE/spring-tx-4.0.5.RELEASE.jar,26,0,0,0,0,0,0,4.0.6
76185,org.springframework.spring-tx,4.0.6,2014-07-08,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.0.6.RELEASE/spring-tx-4.0.6.RELEASE.jar,26,0,0,0,0,0,0,4.0.7
76184,org.springframework.spring-tx,4.0.7,2014-09-04,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.0.7.RELEASE/spring-tx-4.0.7.RELEASE.jar,26,0,0,0,0,0,0,4.0.8
76183,org.springframework.spring-tx,4.0.8,2014-11-11,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.0.8.RELEASE/spring-tx-4.0.8.RELEASE.jar,26,0,0,0,0,0,0,4.0.9
76182,org.springframework.spring-tx,4.0.9,2014-12-30,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.0.9.RELEASE/spring-tx-4.0.9.RELEASE.jar,26,0,0,0,0,0,0,4.1.0
76181,org.springframework.spring-tx,4.1.0,2014-09-04,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.1.0.RELEASE/spring-tx-4.1.0.RELEASE.jar,26,0,0,0,0,0,0,4.1.1
76180,org.springframework.spring-tx,4.1.1,2014-10-01,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.1.1.RELEASE/spring-tx-4.1.1.RELEASE.jar,26,0,0,0,0,0,0,4.1.2
76179,org.springframework.spring-tx,4.1.2,2014-11-11,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.1.2.RELEASE/spring-tx-4.1.2.RELEASE.jar,26,0,0,0,0,0,0,4.1.3
76178,org.springframework.spring-tx,4.1.3,2014-12-09,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.1.3.RELEASE/spring-tx-4.1.3.RELEASE.jar,26,0,0,0,0,0,0,4.1.4
76177,org.springframework.spring-tx,4.1.4,2014-12-30,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.1.4.RELEASE/spring-tx-4.1.4.RELEASE.jar,26,0,0,0,0,0,0,4.1.5
76176,org.springframework.spring-tx,4.1.5,2015-02-20,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.1.5.RELEASE/spring-tx-4.1.5.RELEASE.jar,26,0,0,0,0,0,0,4.1.6
76195,org.springframework.spring-tx,4.1.6,2015-05-04,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.1.6.RELEASE/spring-tx-4.1.6.RELEASE.jar,26,0,0,0,0,0,0,4.1.7
76197,org.springframework.spring-tx,4.1.7,2015-06-30,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.1.7.RELEASE/spring-tx-4.1.7.RELEASE.jar,26,0,0,0,0,0,0,4.1.8
76218,org.springframework.spring-tx,4.1.8,2015-10-15,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.1.8.RELEASE/spring-tx-4.1.8.RELEASE.jar,26,0,0,0,0,0,0,4.1.9
76198,org.springframework.spring-tx,4.1.9,2015-12-17,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.1.9.RELEASE/spring-tx-4.1.9.RELEASE.jar,26,0,0,0,0,0,0,4.2.0
76217,org.springframework.spring-tx,4.2.0,2015-07-31,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.2.0.RELEASE/spring-tx-4.2.0.RELEASE.jar,26,0,0,0,0,0,0,4.2.1
76216,org.springframework.spring-tx,4.2.1,2015-09-01,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.2.1.RELEASE/spring-tx-4.2.1.RELEASE.jar,26,0,0,0,0,0,0,4.2.2
76215,org.springframework.spring-tx,4.2.2,2015-10-15,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.2.2.RELEASE/spring-tx-4.2.2.RELEASE.jar,26,0,0,0,0,0,0,4.2.3
76214,org.springframework.spring-tx,4.2.3,2015-11-15,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.2.3.RELEASE/spring-tx-4.2.3.RELEASE.jar,26,0,0,0,0,0,0,4.2.4
76213,org.springframework.spring-tx,4.2.4,2015-12-17,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.2.4.RELEASE/spring-tx-4.2.4.RELEASE.jar,26,0,0,0,0,0,0,4.2.5
76212,org.springframework.spring-tx,4.2.5,2016-02-25,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.2.5.RELEASE/spring-tx-4.2.5.RELEASE.jar,26,0,0,0,0,0,0,4.2.6
76211,org.springframework.spring-tx,4.2.6,2016-05-06,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.2.6.RELEASE/spring-tx-4.2.6.RELEASE.jar,26,0,0,0,0,0,0,4.2.7
76210,org.springframework.spring-tx,4.2.7,2016-07-04,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.2.7.RELEASE/spring-tx-4.2.7.RELEASE.jar,26,0,0,0,0,0,0,4.2.8
76209,org.springframework.spring-tx,4.2.8,2016-09-19,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.2.8.RELEASE/spring-tx-4.2.8.RELEASE.jar,26,0,0,0,0,0,0,4.2.9
76208,org.springframework.spring-tx,4.2.9,2016-12-21,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.2.9.RELEASE/spring-tx-4.2.9.RELEASE.jar,26,0,0,0,0,0,0,4.3.0
76207,org.springframework.spring-tx,4.3.0,2016-06-10,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.3.0.RELEASE/spring-tx-4.3.0.RELEASE.jar,26,0,0,0,0,0,0,4.3.1
76206,org.springframework.spring-tx,4.3.1,2016-07-04,https://repo1.maven.org/maven2/org/springframework/spring-tx/4.3.1.RELEASE/spring-tx-4.3.1.RELEASE.jar,26,0,0,0,0,0,0,4.3.2
