,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
71962,org.springframework.spring-web,1.0,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-web/1.0/spring-web-1.0.jar,,,,,,,,1.0.1
71963,org.springframework.spring-web,1.0.1,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-web/1.0.1/spring-web-1.0.1.jar,,,,,,,,1.1
71988,org.springframework.spring-web,1.1,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-web/1.1/spring-web-1.1.jar,1,,,,,,,1.1.1
71989,org.springframework.spring-web,1.1.1,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-web/1.1.1/spring-web-1.1.1.jar,1,0,0,0,0,0,0,1.1.2
72009,org.springframework.spring-web,1.1.2,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-web/1.1.2/spring-web-1.1.2.jar,1,0,0,0,0,0,0,1.1.3
72010,org.springframework.spring-web,1.1.3,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-web/1.1.3/spring-web-1.1.3.jar,1,0,0,0,0,0,0,1.1.4
72011,org.springframework.spring-web,1.1.4,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-web/1.1.4/spring-web-1.1.4.jar,1,0,0,0,0,0,0,1.1.5
72012,org.springframework.spring-web,1.1.5,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-web/1.1.5/spring-web-1.1.5.jar,1,0,0,0,0,0,0,1.2
72013,org.springframework.spring-web,1.2,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-web/1.2/spring-web-1.2.jar,1,0,0,0,0,0,0,1.2.1
72014,org.springframework.spring-web,1.2.1,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-web/1.2.1/spring-web-1.2.1.jar,1,0,0,0,0,0,0,1.2.2
72015,org.springframework.spring-web,1.2.2,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-web/1.2.2/spring-web-1.2.2.jar,1,0,0,0,0,0,0,1.2.3
72016,org.springframework.spring-web,1.2.3,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-web/1.2.3/spring-web-1.2.3.jar,1,0,0,0,0,0,0,1.2.4
72017,org.springframework.spring-web,1.2.4,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-web/1.2.4/spring-web-1.2.4.jar,1,0,0,0,0,0,0,1.2.5
72018,org.springframework.spring-web,1.2.5,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-web/1.2.5/spring-web-1.2.5.jar,1,0,0,0,0,0,0,1.2.6
72019,org.springframework.spring-web,1.2.6,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-web/1.2.6/spring-web-1.2.6.jar,1,0,0,0,0,0,0,1.2.7
72020,org.springframework.spring-web,1.2.7,2006-05-10,https://repo1.maven.org/maven2/org/springframework/spring-web/1.2.7/spring-web-1.2.7.jar,2,0,0,0,0,1,0,1.2.8
72021,org.springframework.spring-web,1.2.8,2006-08-24,https://repo1.maven.org/maven2/org/springframework/spring-web/1.2.8/spring-web-1.2.8.jar,2,0,0,0,0,0,0,1.2.9
72022,org.springframework.spring-web,1.2.9,2007-03-09,https://repo1.maven.org/maven2/org/springframework/spring-web/1.2.9/spring-web-1.2.9.jar,2,0,0,0,0,0,0,2.0
72008,org.springframework.spring-web,2.0,2006-10-04,https://repo1.maven.org/maven2/org/springframework/spring-web/2.0/spring-web-2.0.jar,2,0,0,0,0,0,0,2.0.1
71999,org.springframework.spring-web,2.0.1,2006-11-25,https://repo1.maven.org/maven2/org/springframework/spring-web/2.0.1/spring-web-2.0.1.jar,2,0,0,0,0,0,0,2.0.2
71990,org.springframework.spring-web,2.0.2,2007-01-09,https://repo1.maven.org/maven2/org/springframework/spring-web/2.0.2/spring-web-2.0.2.jar,2,0,0,0,0,0,0,2.0.3
71991,org.springframework.spring-web,2.0.3,2007-03-09,https://repo1.maven.org/maven2/org/springframework/spring-web/2.0.3/spring-web-2.0.3.jar,3,1,0,0,0,0,0,2.0.4
71992,org.springframework.spring-web,2.0.4,2007-04-10,https://repo1.maven.org/maven2/org/springframework/spring-web/2.0.4/spring-web-2.0.4.jar,3,0,0,0,0,0,0,2.0.5
71993,org.springframework.spring-web,2.0.5,2007-05-08,https://repo1.maven.org/maven2/org/springframework/spring-web/2.0.5/spring-web-2.0.5.jar,3,0,0,0,0,0,0,2.0.6
71994,org.springframework.spring-web,2.0.6,2007-06-19,https://repo1.maven.org/maven2/org/springframework/spring-web/2.0.6/spring-web-2.0.6.jar,3,0,0,0,0,0,0,2.0.7
71995,org.springframework.spring-web,2.0.7,2007-10-02,https://repo1.maven.org/maven2/org/springframework/spring-web/2.0.7/spring-web-2.0.7.jar,3,0,0,0,0,0,0,2.0.8
71996,org.springframework.spring-web,2.0.8,2008-01-10,https://repo1.maven.org/maven2/org/springframework/spring-web/2.0.8/spring-web-2.0.8.jar,3,0,0,0,0,0,0,2.5
71997,org.springframework.spring-web,2.5,2007-12-25,https://repo1.maven.org/maven2/org/springframework/spring-web/2.5/spring-web-2.5.jar,3,0,0,0,0,0,0,2.5.1
71998,org.springframework.spring-web,2.5.1,2008-01-10,https://repo1.maven.org/maven2/org/springframework/spring-web/2.5.1/spring-web-2.5.1.jar,2,0,0,0,0,0,1,2.5.2
72000,org.springframework.spring-web,2.5.2,2008-03-06,https://repo1.maven.org/maven2/org/springframework/spring-web/2.5.2/spring-web-2.5.2.jar,2,0,0,0,0,0,0,2.5.3
72007,org.springframework.spring-web,2.5.3,2008-04-07,https://repo1.maven.org/maven2/org/springframework/spring-web/2.5.3/spring-web-2.5.3.jar,2,0,0,0,0,0,0,2.5.4
72001,org.springframework.spring-web,2.5.4,2008-04-28,https://repo1.maven.org/maven2/org/springframework/spring-web/2.5.4/spring-web-2.5.4.jar,2,0,0,0,0,0,0,2.5.5
72002,org.springframework.spring-web,2.5.5,2008-06-23,https://repo1.maven.org/maven2/org/springframework/spring-web/2.5.5/spring-web-2.5.5.jar,2,0,0,0,0,0,0,2.5.6
72003,org.springframework.spring-web,2.5.6,2008-11-02,https://repo1.maven.org/maven2/org/springframework/spring-web/2.5.6/spring-web-2.5.6.jar,2,0,0,0,0,0,0,3.0.0
72004,org.springframework.spring-web,3.0.0,2009-12-17,https://repo1.maven.org/maven2/org/springframework/spring-web/3.0.0.RELEASE/spring-web-3.0.0.RELEASE.jar,5,0,0,0,0,4,1,3.0.1
72005,org.springframework.spring-web,3.0.1,2010-02-19,https://repo1.maven.org/maven2/org/springframework/spring-web/3.0.1.RELEASE/spring-web-3.0.1.RELEASE.jar,6,0,0,0,0,1,0,3.0.2
72006,org.springframework.spring-web,3.0.2,2010-04-02,https://repo1.maven.org/maven2/org/springframework/spring-web/3.0.2.RELEASE/spring-web-3.0.2.RELEASE.jar,6,0,0,0,0,0,0,3.0.3
71227,org.springframework.spring-web,3.0.3,2010-06-15,https://repo1.maven.org/maven2/org/springframework/spring-web/3.0.3.RELEASE/spring-web-3.0.3.RELEASE.jar,6,0,0,0,0,0,0,3.0.4
72408,org.springframework.spring-web,3.0.4,2010-08-19,https://repo1.maven.org/maven2/org/springframework/spring-web/3.0.4.RELEASE/spring-web-3.0.4.RELEASE.jar,6,0,0,0,0,0,0,3.0.5
71226,org.springframework.spring-web,3.0.5,2010-10-20,https://repo1.maven.org/maven2/org/springframework/spring-web/3.0.5.RELEASE/spring-web-3.0.5.RELEASE.jar,8,1,0,1,0,0,0,3.0.6
71152,org.springframework.spring-web,3.0.6,2011-08-19,https://repo1.maven.org/maven2/org/springframework/spring-web/3.0.6.RELEASE/spring-web-3.0.6.RELEASE.jar,8,0,0,0,0,0,0,3.0.7
70263,org.springframework.spring-web,3.0.7,2011-12-23,https://repo1.maven.org/maven2/org/springframework/spring-web/3.0.7.RELEASE/spring-web-3.0.7.RELEASE.jar,8,0,0,0,0,0,0,3.1.0
70264,org.springframework.spring-web,3.1.0,2011-12-13,https://repo1.maven.org/maven2/org/springframework/spring-web/3.1.0.RELEASE/spring-web-3.1.0.RELEASE.jar,8,0,0,0,0,0,0,3.1.1
70265,org.springframework.spring-web,3.1.1,2012-02-16,https://repo1.maven.org/maven2/org/springframework/spring-web/3.1.1.RELEASE/spring-web-3.1.1.RELEASE.jar,8,0,0,0,0,0,0,3.1.2
70266,org.springframework.spring-web,3.1.2,2012-07-07,https://repo1.maven.org/maven2/org/springframework/spring-web/3.1.2.RELEASE/spring-web-3.1.2.RELEASE.jar,8,0,0,0,0,0,0,3.1.3
70267,org.springframework.spring-web,3.1.3,2012-10-31,https://repo1.maven.org/maven2/org/springframework/spring-web/3.1.3.RELEASE/spring-web-3.1.3.RELEASE.jar,8,0,0,0,0,0,0,3.1.4
70268,org.springframework.spring-web,3.1.4,2013-01-23,https://repo1.maven.org/maven2/org/springframework/spring-web/3.1.4.RELEASE/spring-web-3.1.4.RELEASE.jar,8,0,0,0,0,0,0,3.2.0
70269,org.springframework.spring-web,3.2.0,2012-12-13,https://repo1.maven.org/maven2/org/springframework/spring-web/3.2.0.RELEASE/spring-web-3.2.0.RELEASE.jar,9,1,0,0,0,0,0,3.2.1
70270,org.springframework.spring-web,3.2.1,2013-01-24,https://repo1.maven.org/maven2/org/springframework/spring-web/3.2.1.RELEASE/spring-web-3.2.1.RELEASE.jar,12,1,0,2,0,0,0,3.2.2
70271,org.springframework.spring-web,3.2.2,2013-03-13,https://repo1.maven.org/maven2/org/springframework/spring-web/3.2.2.RELEASE/spring-web-3.2.2.RELEASE.jar,17,1,0,4,0,0,0,3.2.3
70272,org.springframework.spring-web,3.2.3,2013-05-20,https://repo1.maven.org/maven2/org/springframework/spring-web/3.2.3.RELEASE/spring-web-3.2.3.RELEASE.jar,16,0,0,0,0,0,1,3.2.4
70273,org.springframework.spring-web,3.2.4,2013-08-06,https://repo1.maven.org/maven2/org/springframework/spring-web/3.2.4.RELEASE/spring-web-3.2.4.RELEASE.jar,16,0,0,0,0,0,0,3.2.5
70274,org.springframework.spring-web,3.2.5,2013-11-07,https://repo1.maven.org/maven2/org/springframework/spring-web/3.2.5.RELEASE/spring-web-3.2.5.RELEASE.jar,16,0,0,0,0,0,0,3.2.6
70275,org.springframework.spring-web,3.2.6,2013-12-12,https://repo1.maven.org/maven2/org/springframework/spring-web/3.2.6.RELEASE/spring-web-3.2.6.RELEASE.jar,16,0,0,0,0,0,0,3.2.7
70276,org.springframework.spring-web,3.2.7,2014-01-28,https://repo1.maven.org/maven2/org/springframework/spring-web/3.2.7.RELEASE/spring-web-3.2.7.RELEASE.jar,16,0,0,0,0,0,0,3.2.8
70277,org.springframework.spring-web,3.2.8,2014-02-19,https://repo1.maven.org/maven2/org/springframework/spring-web/3.2.8.RELEASE/spring-web-3.2.8.RELEASE.jar,16,0,0,0,0,0,0,3.2.9
70278,org.springframework.spring-web,3.2.9,2014-05-20,https://repo1.maven.org/maven2/org/springframework/spring-web/3.2.9.RELEASE/spring-web-3.2.9.RELEASE.jar,16,0,0,0,0,0,0,3.2.10
70279,org.springframework.spring-web,3.2.10,2014-07-16,https://repo1.maven.org/maven2/org/springframework/spring-web/3.2.10.RELEASE/spring-web-3.2.10.RELEASE.jar,16,0,0,0,0,0,0,3.2.11
70280,org.springframework.spring-web,3.2.11,2014-09-04,https://repo1.maven.org/maven2/org/springframework/spring-web/3.2.11.RELEASE/spring-web-3.2.11.RELEASE.jar,16,0,0,0,0,0,0,3.2.12
70281,org.springframework.spring-web,3.2.12,2014-11-11,https://repo1.maven.org/maven2/org/springframework/spring-web/3.2.12.RELEASE/spring-web-3.2.12.RELEASE.jar,16,0,0,0,0,0,0,3.2.13
70282,org.springframework.spring-web,3.2.13,2014-12-30,https://repo1.maven.org/maven2/org/springframework/spring-web/3.2.13.RELEASE/spring-web-3.2.13.RELEASE.jar,16,0,0,0,0,0,0,3.2.14
70283,org.springframework.spring-web,3.2.14,2015-06-30,https://repo1.maven.org/maven2/org/springframework/spring-web/3.2.14.RELEASE/spring-web-3.2.14.RELEASE.jar,17,1,0,0,0,0,0,3.2.15
70262,org.springframework.spring-web,3.2.15,2015-10-15,https://repo1.maven.org/maven2/org/springframework/spring-web/3.2.15.RELEASE/spring-web-3.2.15.RELEASE.jar,17,0,0,0,0,0,0,3.2.16
70261,org.springframework.spring-web,3.2.16,2015-12-17,https://repo1.maven.org/maven2/org/springframework/spring-web/3.2.16.RELEASE/spring-web-3.2.16.RELEASE.jar,17,0,0,0,0,0,0,3.2.17
70260,org.springframework.spring-web,3.2.17,2016-05-06,https://repo1.maven.org/maven2/org/springframework/spring-web/3.2.17.RELEASE/spring-web-3.2.17.RELEASE.jar,17,0,0,0,0,0,0,3.2.18
