,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
74491,org.springframework.spring-webmvc,1.0,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-webmvc/1.0/spring-webmvc-1.0.jar,,,,,,,,1.0.1
74490,org.springframework.spring-webmvc,1.0.1,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-webmvc/1.0.1/spring-webmvc-1.0.1.jar,,,,,,,,1.1
74489,org.springframework.spring-webmvc,1.1,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-webmvc/1.1/spring-webmvc-1.1.jar,,,,,,,,1.1.1
74488,org.springframework.spring-webmvc,1.1.1,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-webmvc/1.1.1/spring-webmvc-1.1.1.jar,,,,,,,,1.1.2
74487,org.springframework.spring-webmvc,1.1.2,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-webmvc/1.1.2/spring-webmvc-1.1.2.jar,,,,,,,,1.1.3
74486,org.springframework.spring-webmvc,1.1.3,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-webmvc/1.1.3/spring-webmvc-1.1.3.jar,,,,,,,,1.1.4
74485,org.springframework.spring-webmvc,1.1.4,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-webmvc/1.1.4/spring-webmvc-1.1.4.jar,,,,,,,,1.1.5
74484,org.springframework.spring-webmvc,1.1.5,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-webmvc/1.1.5/spring-webmvc-1.1.5.jar,,,,,,,,1.2
74483,org.springframework.spring-webmvc,1.2,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-webmvc/1.2/spring-webmvc-1.2.jar,,,,,,,,1.2.1
74482,org.springframework.spring-webmvc,1.2.1,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-webmvc/1.2.1/spring-webmvc-1.2.1.jar,,,,,,,,1.2.2
74495,org.springframework.spring-webmvc,1.2.2,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-webmvc/1.2.2/spring-webmvc-1.2.2.jar,,,,,,,,1.2.3
74497,org.springframework.spring-webmvc,1.2.3,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-webmvc/1.2.3/spring-webmvc-1.2.3.jar,,,,,,,,1.2.4
74511,org.springframework.spring-webmvc,1.2.4,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-webmvc/1.2.4/spring-webmvc-1.2.4.jar,,,,,,,,1.2.5
74498,org.springframework.spring-webmvc,1.2.5,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-webmvc/1.2.5/spring-webmvc-1.2.5.jar,,,,,,,,1.2.6
74510,org.springframework.spring-webmvc,1.2.6,2005-12-23,https://repo1.maven.org/maven2/org/springframework/spring-webmvc/1.2.6/spring-webmvc-1.2.6.jar,,,,,,,,1.2.7
74509,org.springframework.spring-webmvc,1.2.7,2006-05-10,https://repo1.maven.org/maven2/org/springframework/spring-webmvc/1.2.7/spring-webmvc-1.2.7.jar,,,,,,,,1.2.8
74508,org.springframework.spring-webmvc,1.2.8,2006-08-24,https://repo1.maven.org/maven2/org/springframework/spring-webmvc/1.2.8/spring-webmvc-1.2.8.jar,,,,,,,,1.2.9
74507,org.springframework.spring-webmvc,1.2.9,2007-03-09,https://repo1.maven.org/maven2/org/springframework/spring-webmvc/1.2.9/spring-webmvc-1.2.9.jar,,,,,,,,2.0
74506,org.springframework.spring-webmvc,2.0,2006-10-04,https://repo1.maven.org/maven2/org/springframework/spring-webmvc/2.0/spring-webmvc-2.0.jar,,,,,,,,2.0.1
74505,org.springframework.spring-webmvc,2.0.1,2006-11-25,https://repo1.maven.org/maven2/org/springframework/spring-webmvc/2.0.1/spring-webmvc-2.0.1.jar,,,,,,,,2.0.2
74504,org.springframework.spring-webmvc,2.0.2,2007-01-09,https://repo1.maven.org/maven2/org/springframework/spring-webmvc/2.0.2/spring-webmvc-2.0.2.jar,,,,,,,,2.0.3
74503,org.springframework.spring-webmvc,2.0.3,2007-03-09,https://repo1.maven.org/maven2/org/springframework/spring-webmvc/2.0.3/spring-webmvc-2.0.3.jar,,,,,,,,2.0.4
74502,org.springframework.spring-webmvc,2.0.4,2007-04-10,https://repo1.maven.org/maven2/org/springframework/spring-webmvc/2.0.4/spring-webmvc-2.0.4.jar,,,,,,,,2.0.5
74501,org.springframework.spring-webmvc,2.0.5,2007-05-08,https://repo1.maven.org/maven2/org/springframework/spring-webmvc/2.0.5/spring-webmvc-2.0.5.jar,,,,,,,,2.0.6
74500,org.springframework.spring-webmvc,2.0.6,2007-06-19,https://repo1.maven.org/maven2/org/springframework/spring-webmvc/2.0.6/spring-webmvc-2.0.6.jar,,,,,,,,2.0.7
74499,org.springframework.spring-webmvc,2.0.7,2007-10-02,https://repo1.maven.org/maven2/org/springframework/spring-webmvc/2.0.7/spring-webmvc-2.0.7.jar,,,,,,,,2.0.8
74481,org.springframework.spring-webmvc,2.0.8,2008-01-10,https://repo1.maven.org/maven2/org/springframework/spring-webmvc/2.0.8/spring-webmvc-2.0.8.jar,,,,,,,,2.5
74480,org.springframework.spring-webmvc,2.5,2007-12-25,https://repo1.maven.org/maven2/org/springframework/spring-webmvc/2.5/spring-webmvc-2.5.jar,,,,,,,,2.5.1
