,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
26063,org.thymeleaf.thymeleaf,1.0.0,2011-07-17,https://repo1.maven.org/maven2/org/thymeleaf/thymeleaf/1.0.0/thymeleaf-1.0.0.jar,,,,,,,,1.0.1
26064,org.thymeleaf.thymeleaf,1.0.1,2011-08-10,https://repo1.maven.org/maven2/org/thymeleaf/thymeleaf/1.0.1/thymeleaf-1.0.1.jar,,,,,,,,1.1.0
26065,org.thymeleaf.thymeleaf,1.1.0,2011-09-18,https://repo1.maven.org/maven2/org/thymeleaf/thymeleaf/1.1.0/thymeleaf-1.1.0.jar,38,,,,,,,1.1.1
26066,org.thymeleaf.thymeleaf,1.1.1,2011-09-19,https://repo1.maven.org/maven2/org/thymeleaf/thymeleaf/1.1.1/thymeleaf-1.1.1.jar,38,0,0,0,0,0,0,1.1.2
26067,org.thymeleaf.thymeleaf,1.1.2,2011-11-11,https://repo1.maven.org/maven2/org/thymeleaf/thymeleaf/1.1.2/thymeleaf-1.1.2.jar,38,0,0,0,0,0,0,1.1.3
26068,org.thymeleaf.thymeleaf,1.1.3,2011-12-27,https://repo1.maven.org/maven2/org/thymeleaf/thymeleaf/1.1.3/thymeleaf-1.1.3.jar,41,0,0,0,0,3,0,1.1.4
26070,org.thymeleaf.thymeleaf,1.1.4,2012-01-08,https://repo1.maven.org/maven2/org/thymeleaf/thymeleaf/1.1.4/thymeleaf-1.1.4.jar,41,0,0,0,0,0,0,1.1.5
26098,org.thymeleaf.thymeleaf,1.1.5,2012-02-01,https://repo1.maven.org/maven2/org/thymeleaf/thymeleaf/1.1.5/thymeleaf-1.1.5.jar,41,0,0,0,0,0,0,2.0.0
26121,org.thymeleaf.thymeleaf,2.0.0,2012-02-08,https://repo1.maven.org/maven2/org/thymeleaf/thymeleaf/2.0.0/thymeleaf-2.0.0.jar,53,1,0,0,0,14,3,2.0.1
26099,org.thymeleaf.thymeleaf,2.0.1,2012-02-13,https://repo1.maven.org/maven2/org/thymeleaf/thymeleaf/2.0.1/thymeleaf-2.0.1.jar,53,0,0,0,0,0,0,2.0.2
26124,org.thymeleaf.thymeleaf,2.0.2,2012-02-19,https://repo1.maven.org/maven2/org/thymeleaf/thymeleaf/2.0.2/thymeleaf-2.0.2.jar,53,0,0,0,0,0,0,2.0.3
26125,org.thymeleaf.thymeleaf,2.0.3,2012-03-07,https://repo1.maven.org/maven2/org/thymeleaf/thymeleaf/2.0.3/thymeleaf-2.0.3.jar,53,0,0,0,0,0,0,2.0.4
26126,org.thymeleaf.thymeleaf,2.0.4,2012-03-07,https://repo1.maven.org/maven2/org/thymeleaf/thymeleaf/2.0.4/thymeleaf-2.0.4.jar,53,0,0,0,0,0,0,2.0.5
26127,org.thymeleaf.thymeleaf,2.0.5,2012-04-01,https://repo1.maven.org/maven2/org/thymeleaf/thymeleaf/2.0.5/thymeleaf-2.0.5.jar,53,0,0,0,0,0,0,2.0.6
26128,org.thymeleaf.thymeleaf,2.0.6,2012-04-22,https://repo1.maven.org/maven2/org/thymeleaf/thymeleaf/2.0.6/thymeleaf-2.0.6.jar,53,0,0,0,0,0,0,2.0.7
26129,org.thymeleaf.thymeleaf,2.0.7,2012-05-01,https://repo1.maven.org/maven2/org/thymeleaf/thymeleaf/2.0.7/thymeleaf-2.0.7.jar,53,0,0,0,0,0,0,2.0.8
26130,org.thymeleaf.thymeleaf,2.0.8,2012-05-17,https://repo1.maven.org/maven2/org/thymeleaf/thymeleaf/2.0.8/thymeleaf-2.0.8.jar,53,0,0,0,0,0,0,2.0.9
