,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
7515,org.tinylog.tinylog-impl,2.0.0,2019-08-21,https://repo1.maven.org/maven2/org/tinylog/tinylog-impl/2.0.0/tinylog-impl-2.0.0.jar,1,,,,,,,2.0.1
7516,org.tinylog.tinylog-impl,2.0.1,2019-11-30,https://repo1.maven.org/maven2/org/tinylog/tinylog-impl/2.0.1/tinylog-impl-2.0.1.jar,1,0,0,0,0,0,0,2.1.0
7517,org.tinylog.tinylog-impl,2.1.0,2020-03-10,https://repo1.maven.org/maven2/org/tinylog/tinylog-impl/2.1.0/tinylog-impl-2.1.0.jar,1,0,0,0,0,0,0,2.1.1
7518,org.tinylog.tinylog-impl,2.1.1,2020-03-24,https://repo1.maven.org/maven2/org/tinylog/tinylog-impl/2.1.1/tinylog-impl-2.1.1.jar,1,0,0,0,0,0,0,2.1.2
7519,org.tinylog.tinylog-impl,2.1.2,2020-05-06,https://repo1.maven.org/maven2/org/tinylog/tinylog-impl/2.1.2/tinylog-impl-2.1.2.jar,1,0,0,0,0,0,0,2.2.0
7520,org.tinylog.tinylog-impl,2.2.0,2020-10-26,https://repo1.maven.org/maven2/org/tinylog/tinylog-impl/2.2.0/tinylog-impl-2.2.0.jar,1,0,0,0,0,1,1,2.2.1
7521,org.tinylog.tinylog-impl,2.2.1,2020-12-03,https://repo1.maven.org/maven2/org/tinylog/tinylog-impl/2.2.1/tinylog-impl-2.2.1.jar,1,0,0,0,0,0,0,2.3.0
7522,org.tinylog.tinylog-impl,2.3.0,2021-04-18,https://repo1.maven.org/maven2/org/tinylog/tinylog-impl/2.3.0/tinylog-impl-2.3.0.jar,1,0,0,0,0,0,0,2.3.1
7512,org.tinylog.tinylog-impl,2.3.1,2021-04-30,https://repo1.maven.org/maven2/org/tinylog/tinylog-impl/2.3.1/tinylog-impl-2.3.1.jar,1,0,0,0,0,0,0,2.3.2
7510,org.tinylog.tinylog-impl,2.3.2,2021-06-06,https://repo1.maven.org/maven2/org/tinylog/tinylog-impl/2.3.2/tinylog-impl-2.3.2.jar,1,0,0,0,0,0,0,2.4.0
7503,org.tinylog.tinylog-impl,2.4.0,2021-12-06,https://repo1.maven.org/maven2/org/tinylog/tinylog-impl/2.4.0/tinylog-impl-2.4.0.jar,1,0,0,0,0,0,0,2.4.1
7504,org.tinylog.tinylog-impl,2.4.1,2021-12-10,https://repo1.maven.org/maven2/org/tinylog/tinylog-impl/2.4.1/tinylog-impl-2.4.1.jar,1,0,0,0,0,0,0,2.5.0
7505,org.tinylog.tinylog-impl,2.5.0,2022-08-16,https://repo1.maven.org/maven2/org/tinylog/tinylog-impl/2.5.0/tinylog-impl-2.5.0.jar,1,0,0,0,0,0,0,2.6.0
7506,org.tinylog.tinylog-impl,2.6.0,2023-01-23,https://repo1.maven.org/maven2/org/tinylog/tinylog-impl/2.6.0/tinylog-impl-2.6.0.jar,1,0,0,0,0,0,0,2.6.1
7507,org.tinylog.tinylog-impl,2.6.1,2023-03-09,https://repo1.maven.org/maven2/org/tinylog/tinylog-impl/2.6.1/tinylog-impl-2.6.1.jar,1,0,0,0,0,0,0,2.6.2
7508,org.tinylog.tinylog-impl,2.6.2,2023-05-13,https://repo1.maven.org/maven2/org/tinylog/tinylog-impl/2.6.2/tinylog-impl-2.6.2.jar,1,0,0,0,0,0,0,2.7.0
7509,org.tinylog.tinylog-impl,2.7.0,2024-01-31,https://repo1.maven.org/maven2/org/tinylog/tinylog-impl/2.7.0/tinylog-impl-2.7.0.jar,: 1,0,0,0,0,0,0,
