,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
27224,org.tpolecat.doobie-core,0.2.3,2015-11-07,https://repo1.maven.org/maven2/org/tpolecat/doobie-core_2.11/0.2.3/doobie-core_2.11-0.2.3.jar,,,,,,,,0.2.4
27225,org.tpolecat.doobie-core,0.2.4,2016-07-07,https://repo1.maven.org/maven2/org/tpolecat/doobie-core_2.11/0.2.4/doobie-core_2.11-0.2.4.jar,,,,,,,,0.3.0
27226,org.tpolecat.doobie-core,0.3.0,2016-07-08,https://repo1.maven.org/maven2/org/tpolecat/doobie-core_2.11/0.3.0/doobie-core_2.11-0.3.0.jar,,,,,,,,0.4.0
27227,org.tpolecat.doobie-core,0.4.0,2017-01-16,https://repo1.maven.org/maven2/org/tpolecat/doobie-core_2.12/0.4.0/doobie-core_2.12-0.4.0.jar,,,,,,,,0.4.1
27228,org.tpolecat.doobie-core,0.4.1,2017-01-20,https://repo1.maven.org/maven2/org/tpolecat/doobie-core_2.12/0.4.1/doobie-core_2.12-0.4.1.jar,,,,,,,,0.4.2
27229,org.tpolecat.doobie-core,0.4.2,2017-08-04,https://repo1.maven.org/maven2/org/tpolecat/doobie-core_2.12/0.4.2/doobie-core_2.12-0.4.2.jar,,,,,,,,0.4.3
27230,org.tpolecat.doobie-core,0.4.3,2017-08-15,https://repo1.maven.org/maven2/org/tpolecat/doobie-core_2.10/0.4.3/doobie-core_2.10-0.4.3.jar,,,,,,,,0.4.4
27231,org.tpolecat.doobie-core,0.4.4,2017-08-15,https://repo1.maven.org/maven2/org/tpolecat/doobie-core_2.12/0.4.4/doobie-core_2.12-0.4.4.jar,,,,,,,,0.5.0
27212,org.tpolecat.doobie-core,0.5.0,2018-02-08,https://repo1.maven.org/maven2/org/tpolecat/doobie-core_2.12/0.5.0/doobie-core_2.12-0.5.0.jar,,,,,,,,0.5.1
27213,org.tpolecat.doobie-core,0.5.1,2018-02-28,https://repo1.maven.org/maven2/org/tpolecat/doobie-core_2.12/0.5.1/doobie-core_2.12-0.5.1.jar,,,,,,,,0.5.2
27214,org.tpolecat.doobie-core,0.5.2,2018-03-31,https://repo1.maven.org/maven2/org/tpolecat/doobie-core_2.12/0.5.2/doobie-core_2.12-0.5.2.jar,,,,,,,,0.5.3
27215,org.tpolecat.doobie-core,0.5.3,2018-05-17,https://repo1.maven.org/maven2/org/tpolecat/doobie-core_2.12/0.5.3/doobie-core_2.12-0.5.3.jar,,,,,,,,0.5.4
27216,org.tpolecat.doobie-core,0.5.4,2018-12-07,https://repo1.maven.org/maven2/org/tpolecat/doobie-core_2.12/0.5.4/doobie-core_2.12-0.5.4.jar,,,,,,,,0.6.0
27217,org.tpolecat.doobie-core,0.6.0,2018-10-17,https://repo1.maven.org/maven2/org/tpolecat/doobie-core_2.12/0.6.0/doobie-core_2.12-0.6.0.jar,,,,,,,,0.7.0
27218,org.tpolecat.doobie-core,0.7.0,2019-05-26,https://repo1.maven.org/maven2/org/tpolecat/doobie-core_2.12/0.7.0/doobie-core_2.12-0.7.0.jar,,,,,,,,0.7.1
27219,org.tpolecat.doobie-core,0.7.1,2019-10-04,https://repo1.maven.org/maven2/org/tpolecat/doobie-core_2.12/0.7.1/doobie-core_2.12-0.7.1.jar,,,,,,,,0.8.2
27220,org.tpolecat.doobie-core,0.8.2,2019-09-17,https://repo1.maven.org/maven2/org/tpolecat/doobie-core_2.13/0.8.2/doobie-core_2.13-0.8.2.jar,180,,,,,,,0.8.4
27221,org.tpolecat.doobie-core,0.8.4,2019-10-01,https://repo1.maven.org/maven2/org/tpolecat/doobie-core_2.13/0.8.4/doobie-core_2.13-0.8.4.jar,180,0,0,0,0,0,0,0.8.5
27222,org.tpolecat.doobie-core,0.8.5,2019-11-13,https://repo1.maven.org/maven2/org/tpolecat/doobie-core_2.13/0.8.5/doobie-core_2.13-0.8.5.jar,180,0,0,0,0,0,0,0.8.6
27223,org.tpolecat.doobie-core,0.8.6,2019-11-13,https://repo1.maven.org/maven2/org/tpolecat/doobie-core_2.13/0.8.6/doobie-core_2.13-0.8.6.jar,180,0,0,0,0,0,0,0.8.7
27232,org.tpolecat.doobie-core,0.8.7,2019-12-15,https://repo1.maven.org/maven2/org/tpolecat/doobie-core_2.13/0.8.7/doobie-core_2.13-0.8.7.jar,181,0,0,0,0,1,0,0.8.8
27233,org.tpolecat.doobie-core,0.8.8,2019-12-20,https://repo1.maven.org/maven2/org/tpolecat/doobie-core_2.13/0.8.8/doobie-core_2.13-0.8.8.jar,181,0,0,0,0,0,0,0.9.0
27234,org.tpolecat.doobie-core,0.9.0,2020-04-05,https://repo1.maven.org/maven2/org/tpolecat/doobie-core_2.13/0.9.0/doobie-core_2.13-0.9.0.jar,183,0,0,0,0,6,4,0.9.2
