,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
48479,org.typelevel.cats-core,0.4.0,2016-02-01,https://repo1.maven.org/maven2/org/typelevel/cats-core_2.11/0.4.0/cats-core_2.11-0.4.0.jar,,,,,,,,0.4.1
48480,org.typelevel.cats-core,0.4.1,2016-02-05,https://repo1.maven.org/maven2/org/typelevel/cats-core_2.11/0.4.1/cats-core_2.11-0.4.1.jar,,,,,,,,0.5.0
48481,org.typelevel.cats-core,0.5.0,2016-04-28,https://repo1.maven.org/maven2/org/typelevel/cats-core_2.11/0.5.0/cats-core_2.11-0.5.0.jar,,,,,,,,0.6.0
48483,org.typelevel.cats-core,0.6.0,2016-05-20,https://repo1.maven.org/maven2/org/typelevel/cats-core_2.11/0.6.0/cats-core_2.11-0.6.0.jar,,,,,,,,0.6.1
48510,org.typelevel.cats-core,0.6.1,2016-07-14,https://repo1.maven.org/maven2/org/typelevel/cats-core_2.11/0.6.1/cats-core_2.11-0.6.1.jar,,,,,,,,0.7.0
48511,org.typelevel.cats-core,0.7.0,2016-08-21,https://repo1.maven.org/maven2/org/typelevel/cats-core_2.11/0.7.0/cats-core_2.11-0.7.0.jar,21,,,,,,,0.7.1
48512,org.typelevel.cats-core,0.7.1,2016-09-02,https://repo1.maven.org/maven2/org/typelevel/cats-core_2.11/0.7.1/cats-core_2.11-0.7.1.jar,20,0,0,0,0,0,1,0.7.2
48536,org.typelevel.cats-core,0.7.2,2016-09-02,https://repo1.maven.org/maven2/org/typelevel/cats-core_2.11/0.7.2/cats-core_2.11-0.7.2.jar,,0,0,0,0,1,0,0.8.0
48537,org.typelevel.cats-core,0.8.0,2016-10-26,https://repo1.maven.org/maven2/org/typelevel/cats-core_2.11/0.8.0/cats-core_2.11-0.8.0.jar,,,,,,,,0.8.1
48538,org.typelevel.cats-core,0.8.1,2016-11-08,https://repo1.maven.org/maven2/org/typelevel/cats-core_2.12/0.8.1/cats-core_2.12-0.8.1.jar,,,,,,,,0.9.0
48539,org.typelevel.cats-core,0.9.0,2017-01-15,https://repo1.maven.org/maven2/org/typelevel/cats-core_2.12/0.9.0/cats-core_2.12-0.9.0.jar,,,,,,,,1.0.0
48540,org.typelevel.cats-core,1.0.0,2017-12-26,https://repo1.maven.org/maven2/org/typelevel/cats-core_2.12/1.0.0/cats-core_2.12-1.0.0.jar,,,,,,,,1.0.1
48541,org.typelevel.cats-core,1.0.1,2017-12-31,https://repo1.maven.org/maven2/org/typelevel/cats-core_2.12/1.0.1/cats-core_2.12-1.0.1.jar,,,,,,,,1.1.0
48542,org.typelevel.cats-core,1.1.0,2018-03-16,https://repo1.maven.org/maven2/org/typelevel/cats-core_2.12/1.1.0/cats-core_2.12-1.1.0.jar,3,,,,,,,1.2.0
48543,org.typelevel.cats-core,1.2.0,2018-07-23,https://repo1.maven.org/maven2/org/typelevel/cats-core_2.12/1.2.0/cats-core_2.12-1.2.0.jar,3,0,0,0,0,0,0,1.3.0
48544,org.typelevel.cats-core,1.3.0,2018-09-04,https://repo1.maven.org/maven2/org/typelevel/cats-core_2.12/1.3.0/cats-core_2.12-1.3.0.jar,3,0,0,0,0,0,0,1.3.1
48545,org.typelevel.cats-core,1.3.1,2018-09-05,https://repo1.maven.org/maven2/org/typelevel/cats-core_2.12/1.3.1/cats-core_2.12-1.3.1.jar,3,0,0,0,0,0,0,1.4.0
48547,org.typelevel.cats-core,1.4.0,2018-09-12,https://repo1.maven.org/maven2/org/typelevel/cats-core_2.12/1.4.0/cats-core_2.12-1.4.0.jar,3,0,0,0,0,0,0,1.5.0
48553,org.typelevel.cats-core,1.5.0,2018-12-01,https://repo1.maven.org/maven2/org/typelevel/cats-core_2.12/1.5.0/cats-core_2.12-1.5.0.jar,3,0,0,0,0,0,0,1.6.0
