,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
18752,org.typelevel.cats-effect,0.2,2017-05-14,https://repo1.maven.org/maven2/org/typelevel/cats-effect_2.12/0.2/cats-effect_2.12-0.2.jar,4,,,,,,,0.2.2
18751,org.typelevel.cats-effect,0.2.2,2017-05-12,https://repo1.maven.org/maven2/org/typelevel/cats-effect_2.12/0.2-2f38223/cats-effect_2.12-0.2-2f38223.jar,4,0,0,0,0,0,0,0.2.632
18750,org.typelevel.cats-effect,0.2.632,2017-05-08,https://repo1.maven.org/maven2/org/typelevel/cats-effect_2.12/0.2-632d221/cats-effect_2.12-0.2-632d221.jar,4,0,0,0,0,0,0,0.2.3772
18749,org.typelevel.cats-effect,0.2.3772,2017-05-05,https://repo1.maven.org/maven2/org/typelevel/cats-effect_2.12/0.2-3772c8e/cats-effect_2.12-0.2-3772c8e.jar,4,0,0,0,0,1,1,0.3
18753,org.typelevel.cats-effect,0.3,2017-05-21,https://repo1.maven.org/maven2/org/typelevel/cats-effect_2.12/0.3-d37204d/cats-effect_2.12-0.3-d37204d.jar,4,0,0,0,0,1,1,0.4
18755,org.typelevel.cats-effect,0.4,2017-06-07,https://repo1.maven.org/maven2/org/typelevel/cats-effect_2.12/0.4-c257223/cats-effect_2.12-0.4-c257223.jar,4,0,0,0,0,0,0,0.4.542290
18754,org.typelevel.cats-effect,0.4.542290,2017-10-28,https://repo1.maven.org/maven2/org/typelevel/cats-effect_2.12/0.4-542290e/cats-effect_2.12-0.4-542290e.jar,4,0,0,0,0,0,0,0.5
18783,org.typelevel.cats-effect,0.5,2017-11-01,https://repo1.maven.org/maven2/org/typelevel/cats-effect_2.12/0.5/cats-effect_2.12-0.5.jar,,0,0,0,0,0,0,0.6
18785,org.typelevel.cats-effect,0.6,2017-12-19,https://repo1.maven.org/maven2/org/typelevel/cats-effect_2.12/0.6/cats-effect_2.12-0.6.jar,,,,,,,,0.6.307
18784,org.typelevel.cats-effect,0.6.307,2017-12-27,https://repo1.maven.org/maven2/org/typelevel/cats-effect_2.12/0.6-307e2c5/cats-effect_2.12-0.6-307e2c5.jar,,,,,,,,0.7
