,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
103553,org.typelevel.spire,0.3.0,2013-02-07,https://repo1.maven.org/maven2/org/spire-math/spire_2.10/0.3.0/spire_2.10-0.3.0.jar,,,,,,,,0.4.0
103552,org.typelevel.spire,0.4.0,2013-05-12,https://repo1.maven.org/maven2/org/spire-math/spire_2.10/0.4.0/spire_2.10-0.4.0.jar,,,,,,,,0.5.0
103551,org.typelevel.spire,0.5.0,2013-06-20,https://repo1.maven.org/maven2/org/spire-math/spire_2.10/0.5.0/spire_2.10-0.5.0.jar,,,,,,,,0.5.1
103550,org.typelevel.spire,0.5.1,2013-08-01,https://repo1.maven.org/maven2/org/spire-math/spire_2.10/0.5.1/spire_2.10-0.5.1.jar,,,,,,,,0.6.0
103549,org.typelevel.spire,0.6.0,2013-08-25,https://repo1.maven.org/maven2/org/spire-math/spire_2.10/0.6.0/spire_2.10-0.6.0.jar,,,,,,,,0.6.1
103548,org.typelevel.spire,0.6.1,2013-09-17,https://repo1.maven.org/maven2/org/spire-math/spire_2.10/0.6.1/spire_2.10-0.6.1.jar,,,,,,,,0.7.0
103547,org.typelevel.spire,0.7.0,2013-12-18,https://repo1.maven.org/maven2/org/spire-math/spire_2.10/0.7.0/spire_2.10-0.7.0.jar,,,,,,,,0.7.1
103546,org.typelevel.spire,0.7.1,2013-12-18,https://repo1.maven.org/maven2/org/spire-math/spire_2.10/0.7.1/spire_2.10-0.7.1.jar,,,,,,,,0.7.2
103545,org.typelevel.spire,0.7.2,2013-12-31,https://repo1.maven.org/maven2/org/spire-math/spire_2.10/0.7.2/spire_2.10-0.7.2.jar,,,,,,,,0.7.3
103544,org.typelevel.spire,0.7.3,2014-01-01,https://repo1.maven.org/maven2/org/spire-math/spire_2.10/0.7.3/spire_2.10-0.7.3.jar,,,,,,,,0.7.4
103554,org.typelevel.spire,0.7.4,2014-04-24,https://repo1.maven.org/maven2/org/spire-math/spire_2.11/0.7.4/spire_2.11-0.7.4.jar,,,,,,,,0.7.5
103555,org.typelevel.spire,0.7.5,2014-05-26,https://repo1.maven.org/maven2/org/spire-math/spire_2.11/0.7.5/spire_2.11-0.7.5.jar,,,,,,,,0.8.0
103569,org.typelevel.spire,0.8.0,2014-07-30,https://repo1.maven.org/maven2/org/spire-math/spire_2.11/0.8.0/spire_2.11-0.8.0.jar,,,,,,,,0.8.2
103556,org.typelevel.spire,0.8.2,2014-07-31,https://repo1.maven.org/maven2/org/spire-math/spire_2.11/0.8.2/spire_2.11-0.8.2.jar,,,,,,,,0.9.0
103568,org.typelevel.spire,0.9.0,2014-12-22,https://repo1.maven.org/maven2/org/spire-math/spire_2.11/0.9.0/spire_2.11-0.9.0.jar,,,,,,,,0.9.1
103567,org.typelevel.spire,0.9.1,2015-02-11,https://repo1.maven.org/maven2/org/spire-math/spire_2.11/0.9.1/spire_2.11-0.9.1.jar,,,,,,,,0.10.1
103566,org.typelevel.spire,0.10.1,2015-05-16,https://repo1.maven.org/maven2/org/spire-math/spire_2.11/0.10.1/spire_2.11-0.10.1.jar,,,,,,,,0.11.0
103565,org.typelevel.spire,0.11.0,2015-10-27,https://repo1.maven.org/maven2/org/spire-math/spire_2.11/0.11.0/spire_2.11-0.11.0.jar,,,,,,,,0.12.0
103564,org.typelevel.spire,0.12.0,2016-08-18,https://repo1.maven.org/maven2/org/spire-math/spire_2.11/0.12.0/spire_2.11-0.12.0.jar,,,,,,,,0.13.0
103563,org.typelevel.spire,0.13.0,2016-11-28,https://repo1.maven.org/maven2/org/spire-math/spire_2.12/0.13.0/spire_2.12-0.13.0.jar,,,,,,,,0.14.0
41483,org.typelevel.spire,0.14.0,2017-03-19,https://repo1.maven.org/maven2/org/typelevel/spire_2.12/0.14.0/spire_2.12-0.14.0.jar,,,,,,,,0.14.1
41484,org.typelevel.spire,0.14.1,2017-03-28,https://repo1.maven.org/maven2/org/typelevel/spire_2.12/0.14.1/spire_2.12-0.14.1.jar,,,,,,,,0.15.0
41485,org.typelevel.spire,0.15.0,2018-02-23,https://repo1.maven.org/maven2/org/typelevel/spire_2.12/0.15.0/spire_2.12-0.15.0.jar,,,,,,,,0.16.0
41486,org.typelevel.spire,0.16.0,2018-06-15,https://repo1.maven.org/maven2/org/typelevel/spire_2.12/0.16.0/spire_2.12-0.16.0.jar,,,,,,,,0.16.1
41487,org.typelevel.spire,0.16.1,2019-03-26,https://repo1.maven.org/maven2/org/typelevel/spire_2.12/0.16.1/spire_2.12-0.16.1.jar,,,,,,,,0.16.2
41488,org.typelevel.spire,0.16.2,2019-05-24,https://repo1.maven.org/maven2/org/typelevel/spire_2.12/0.16.2/spire_2.12-0.16.2.jar,,,,,,,,0.17.0
41489,org.typelevel.spire,0.17.0,2020-10-13,https://repo1.maven.org/maven2/org/typelevel/spire_2.13/0.17.0/spire_2.13-0.17.0.jar,200,,,,,,,0.18.0
41490,org.typelevel.spire,0.18.0,2022-06-17,https://repo1.maven.org/maven2/org/typelevel/spire_3/0.18.0/spire_3-0.18.0.jar,: 411,212,0,0,0,24,25,
