,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
34740,org.webjars.bootstrap,1.3.0,2014-05-23,https://repo1.maven.org/maven2/org/webjars/bootstrap/1.3.0/bootstrap-1.3.0.jar,,,,,,,,
34741,org.webjars.bootstrap,2.0.2,2021-02-17,https://repo1.maven.org/maven2/org/webjars/bootstrap/2.0.2/bootstrap-2.0.2.jar,,,,,,,,
34742,org.webjars.bootstrap,2.1.1,2012-10-16,https://repo1.maven.org/maven2/org/webjars/bootstrap/2.1.1/bootstrap-2.1.1.jar,,,,,,,,
34743,org.webjars.bootstrap,2.2.1,2012-10-31,https://repo1.maven.org/maven2/org/webjars/bootstrap/2.2.1/bootstrap-2.2.1.jar,,,,,,,,
34744,org.webjars.bootstrap,2.2.2,2012-12-09,https://repo1.maven.org/maven2/org/webjars/bootstrap/2.2.2/bootstrap-2.2.2.jar,,,,,,,,
34745,org.webjars.bootstrap,2.2.2.1,2013-01-29,https://repo1.maven.org/maven2/org/webjars/bootstrap/2.2.2-1/bootstrap-2.2.2-1.jar,,,,,,,,
34746,org.webjars.bootstrap,2.3.0,2013-02-08,https://repo1.maven.org/maven2/org/webjars/bootstrap/2.3.0/bootstrap-2.3.0.jar,,,,,,,,
34747,org.webjars.bootstrap,2.3.1,2013-03-01,https://repo1.maven.org/maven2/org/webjars/bootstrap/2.3.1/bootstrap-2.3.1.jar,,,,,,,,
34748,org.webjars.bootstrap,2.3.1.1,2013-05-01,https://repo1.maven.org/maven2/org/webjars/bootstrap/2.3.1-1/bootstrap-2.3.1-1.jar,,,,,,,,
34749,org.webjars.bootstrap,2.3.2,2013-05-30,https://repo1.maven.org/maven2/org/webjars/bootstrap/2.3.2/bootstrap-2.3.2.jar,,,,,,,,
34750,org.webjars.bootstrap,3.0.0,2013-08-21,https://repo1.maven.org/maven2/org/webjars/bootstrap/3.0.0/bootstrap-3.0.0.jar,,,,,,,,
