,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
34103,org.webjars.bowergithub.polymer.polymer,0.3.6,2018-02-11,https://repo1.maven.org/maven2/org/webjars/bowergithub/polymer/polymer/0.3.6/polymer-0.3.6.jar,,,,,,,,
34104,org.webjars.bowergithub.polymer.polymer,0.5.6,2019-02-04,https://repo1.maven.org/maven2/org/webjars/bowergithub/polymer/polymer/0.5.6/polymer-0.5.6.jar,,,,,,,,
34105,org.webjars.bowergithub.polymer.polymer,1.0.9,2018-12-13,https://repo1.maven.org/maven2/org/webjars/bowergithub/polymer/polymer/1.0.9/polymer-1.0.9.jar,,,,,,,,
34106,org.webjars.bowergithub.polymer.polymer,1.1.0,2018-06-01,https://repo1.maven.org/maven2/org/webjars/bowergithub/polymer/polymer/1.1.0/polymer-1.1.0.jar,,,,,,,,
34107,org.webjars.bowergithub.polymer.polymer,1.1.5,2018-07-03,https://repo1.maven.org/maven2/org/webjars/bowergithub/polymer/polymer/1.1.5/polymer-1.1.5.jar,,,,,,,,
34108,org.webjars.bowergithub.polymer.polymer,1.7.0,2018-04-19,https://repo1.maven.org/maven2/org/webjars/bowergithub/polymer/polymer/1.7.0/polymer-1.7.0.jar,,,,,,,,
34109,org.webjars.bowergithub.polymer.polymer,1.10.1,2022-07-07,https://repo1.maven.org/maven2/org/webjars/bowergithub/polymer/polymer/1.10.1/polymer-1.10.1.jar,,,,,,,,
34110,org.webjars.bowergithub.polymer.polymer,1.11.3,2018-10-10,https://repo1.maven.org/maven2/org/webjars/bowergithub/polymer/polymer/1.11.3/polymer-1.11.3.jar,,,,,,,,
34139,org.webjars.bowergithub.polymer.polymer,1.12.0,2019-05-22,https://repo1.maven.org/maven2/org/webjars/bowergithub/polymer/polymer/1.12.0/polymer-1.12.0.jar,,,,,,,,
34245,org.webjars.bowergithub.polymer.polymer,2.0.2,2018-02-28,https://repo1.maven.org/maven2/org/webjars/bowergithub/polymer/polymer/2.0.2/polymer-2.0.2.jar,,,,,,,,
34246,org.webjars.bowergithub.polymer.polymer,2.3.1,2018-02-02,https://repo1.maven.org/maven2/org/webjars/bowergithub/polymer/polymer/2.3.1/polymer-2.3.1.jar,,,,,,,,
34247,org.webjars.bowergithub.polymer.polymer,2.4.0,2018-01-30,https://repo1.maven.org/maven2/org/webjars/bowergithub/polymer/polymer/2.4.0/polymer-2.4.0.jar,,,,,,,,
34356,org.webjars.bowergithub.polymer.polymer,2.5.0,2018-02-03,https://repo1.maven.org/maven2/org/webjars/bowergithub/polymer/polymer/2.5.0/polymer-2.5.0.jar,,,,,,,,
34357,org.webjars.bowergithub.polymer.polymer,2.6.0,2018-03-23,https://repo1.maven.org/maven2/org/webjars/bowergithub/polymer/polymer/2.6.0/polymer-2.6.0.jar,,,,,,,,
34358,org.webjars.bowergithub.polymer.polymer,2.6.1,2018-08-24,https://repo1.maven.org/maven2/org/webjars/bowergithub/polymer/polymer/2.6.1/polymer-2.6.1.jar,,,,,,,,
34359,org.webjars.bowergithub.polymer.polymer,2.7.0,2018-12-04,https://repo1.maven.org/maven2/org/webjars/bowergithub/polymer/polymer/2.7.0/polymer-2.7.0.jar,,,,,,,,
34360,org.webjars.bowergithub.polymer.polymer,2.7.1,2019-03-22,https://repo1.maven.org/maven2/org/webjars/bowergithub/polymer/polymer/2.7.1/polymer-2.7.1.jar,,,,,,,,
34361,org.webjars.bowergithub.polymer.polymer,2.7.2,2019-04-17,https://repo1.maven.org/maven2/org/webjars/bowergithub/polymer/polymer/2.7.2/polymer-2.7.2.jar,,,,,,,,
34362,org.webjars.bowergithub.polymer.polymer,2.8.0,2019-06-25,https://repo1.maven.org/maven2/org/webjars/bowergithub/polymer/polymer/2.8.0/polymer-2.8.0.jar,,,,,,,,
