,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
36066,org.webjars.npm.postcss,5.0.14,2016-01-13,https://repo1.maven.org/maven2/org/webjars/npm/postcss/5.0.14/postcss-5.0.14.jar,,,,,,,,
36067,org.webjars.npm.postcss,5.0.21,2016-05-27,https://repo1.maven.org/maven2/org/webjars/npm/postcss/5.0.21/postcss-5.0.21.jar,,,,,,,,
35992,org.webjars.npm.postcss,5.1.2,2016-08-19,https://repo1.maven.org/maven2/org/webjars/npm/postcss/5.1.2/postcss-5.1.2.jar,,,,,,,,
35991,org.webjars.npm.postcss,5.2.6,2016-11-22,https://repo1.maven.org/maven2/org/webjars/npm/postcss/5.2.6/postcss-5.2.6.jar,,,,,,,,
35990,org.webjars.npm.postcss,5.2.11,2017-01-26,https://repo1.maven.org/maven2/org/webjars/npm/postcss/5.2.11/postcss-5.2.11.jar,,,,,,,,
35938,org.webjars.npm.postcss,5.2.13,2017-02-16,https://repo1.maven.org/maven2/org/webjars/npm/postcss/5.2.13/postcss-5.2.13.jar,,,,,,,,
35914,org.webjars.npm.postcss,5.2.16,2017-04-07,https://repo1.maven.org/maven2/org/webjars/npm/postcss/5.2.16/postcss-5.2.16.jar,,,,,,,,
35915,org.webjars.npm.postcss,5.2.17,2017-07-10,https://repo1.maven.org/maven2/org/webjars/npm/postcss/5.2.17/postcss-5.2.17.jar,,,,,,,,
35916,org.webjars.npm.postcss,5.2.18,2018-02-22,https://repo1.maven.org/maven2/org/webjars/npm/postcss/5.2.18/postcss-5.2.18.jar,,,,,,,,
35917,org.webjars.npm.postcss,6.0.1,2017-05-08,https://repo1.maven.org/maven2/org/webjars/npm/postcss/6.0.1/postcss-6.0.1.jar,,,,,,,,
35918,org.webjars.npm.postcss,6.0.6,2017-07-11,https://repo1.maven.org/maven2/org/webjars/npm/postcss/6.0.6/postcss-6.0.6.jar,,,,,,,,
35919,org.webjars.npm.postcss,6.0.9,2017-08-15,https://repo1.maven.org/maven2/org/webjars/npm/postcss/6.0.9/postcss-6.0.9.jar,,,,,,,,
35920,org.webjars.npm.postcss,6.0.13,2017-10-10,https://repo1.maven.org/maven2/org/webjars/npm/postcss/6.0.13/postcss-6.0.13.jar,,,,,,,,
35921,org.webjars.npm.postcss,6.0.14,2017-11-22,https://repo1.maven.org/maven2/org/webjars/npm/postcss/6.0.14/postcss-6.0.14.jar,,,,,,,,
35922,org.webjars.npm.postcss,6.0.17,2018-02-08,https://repo1.maven.org/maven2/org/webjars/npm/postcss/6.0.17/postcss-6.0.17.jar,,,,,,,,
35923,org.webjars.npm.postcss,6.0.19,2018-02-21,https://repo1.maven.org/maven2/org/webjars/npm/postcss/6.0.19/postcss-6.0.19.jar,,,,,,,,
35924,org.webjars.npm.postcss,6.0.21,2018-03-27,https://repo1.maven.org/maven2/org/webjars/npm/postcss/6.0.21/postcss-6.0.21.jar,,,,,,,,
35925,org.webjars.npm.postcss,6.0.22,2018-05-14,https://repo1.maven.org/maven2/org/webjars/npm/postcss/6.0.22/postcss-6.0.22.jar,,,,,,,,
35926,org.webjars.npm.postcss,6.0.23,2018-06-25,https://repo1.maven.org/maven2/org/webjars/npm/postcss/6.0.23/postcss-6.0.23.jar,,,,,,,,
35927,org.webjars.npm.postcss,7.0.0,2018-07-17,https://repo1.maven.org/maven2/org/webjars/npm/postcss/7.0.0/postcss-7.0.0.jar,,,,,,,,
35928,org.webjars.npm.postcss,7.0.5,2018-10-12,https://repo1.maven.org/maven2/org/webjars/npm/postcss/7.0.5/postcss-7.0.5.jar,,,,,,,,
35929,org.webjars.npm.postcss,7.0.6,2018-12-10,https://repo1.maven.org/maven2/org/webjars/npm/postcss/7.0.6/postcss-7.0.6.jar,,,,,,,,
35930,org.webjars.npm.postcss,7.0.7,2019-01-02,https://repo1.maven.org/maven2/org/webjars/npm/postcss/7.0.7/postcss-7.0.7.jar,,,,,,,,
35931,org.webjars.npm.postcss,7.0.9,2019-06-28,https://repo1.maven.org/maven2/org/webjars/npm/postcss/7.0.9/postcss-7.0.9.jar,,,,,,,,
