,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
36323,org.webjars.npm.through2,0.4.2,2020-04-22,https://repo1.maven.org/maven2/org/webjars/npm/through2/0.4.2/through2-0.4.2.jar,,,,,,,,
36324,org.webjars.npm.through2,0.5.1,2017-12-12,https://repo1.maven.org/maven2/org/webjars/npm/through2/0.5.1/through2-0.5.1.jar,,,,,,,,
36325,org.webjars.npm.through2,0.6.1,2016-03-21,https://repo1.maven.org/maven2/org/webjars/npm/through2/0.6.1/through2-0.6.1.jar,,,,,,,,
36326,org.webjars.npm.through2,0.6.3,2018-05-25,https://repo1.maven.org/maven2/org/webjars/npm/through2/0.6.3/through2-0.6.3.jar,,,,,,,,
36327,org.webjars.npm.through2,0.6.5,2017-03-07,https://repo1.maven.org/maven2/org/webjars/npm/through2/0.6.5/through2-0.6.5.jar,,,,,,,,
36328,org.webjars.npm.through2,2.0.0,2015-08-17,https://repo1.maven.org/maven2/org/webjars/npm/through2/2.0.0/through2-2.0.0.jar,,,,,,,,
36329,org.webjars.npm.through2,2.0.1,2016-05-15,https://repo1.maven.org/maven2/org/webjars/npm/through2/2.0.1/through2-2.0.1.jar,,,,,,,,
36330,org.webjars.npm.through2,2.0.3,2017-10-25,https://repo1.maven.org/maven2/org/webjars/npm/through2/2.0.3/through2-2.0.3.jar,,,,,,,,
36332,org.webjars.npm.through2,2.0.5,2018-11-08,https://repo1.maven.org/maven2/org/webjars/npm/through2/2.0.5/through2-2.0.5.jar,,,,,,,,
36360,org.webjars.npm.through2,3.0.0,2019-02-08,https://repo1.maven.org/maven2/org/webjars/npm/through2/3.0.0/through2-3.0.0.jar,,,,,,,,
36384,org.webjars.npm.through2,3.0.1,2019-03-25,https://repo1.maven.org/maven2/org/webjars/npm/through2/3.0.1/through2-3.0.1.jar,,,,,,,,
36361,org.webjars.npm.through2,3.0.2,2021-04-01,https://repo1.maven.org/maven2/org/webjars/npm/through2/3.0.2/through2-3.0.2.jar,,,,,,,,
36387,org.webjars.npm.through2,4.0.2,2021-04-05,https://repo1.maven.org/maven2/org/webjars/npm/through2/4.0.2/through2-4.0.2.jar,,,,,,,,
