,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
35067,org.webjars.webjars-locator-core,0.22,2015-03-02,https://repo1.maven.org/maven2/org/webjars/webjars-locator-core/0.22/webjars-locator-core-0.22.jar,,,,,,,,0.23
35068,org.webjars.webjars-locator-core,0.23,2015-06-02,https://repo1.maven.org/maven2/org/webjars/webjars-locator-core/0.23/webjars-locator-core-0.23.jar,,,,,,,,0.24
35069,org.webjars.webjars-locator-core,0.24,2015-06-17,https://repo1.maven.org/maven2/org/webjars/webjars-locator-core/0.24/webjars-locator-core-0.24.jar,,,,,,,,0.25
35070,org.webjars.webjars-locator-core,0.25,2015-06-19,https://repo1.maven.org/maven2/org/webjars/webjars-locator-core/0.25/webjars-locator-core-0.25.jar,,,,,,,,0.26
35071,org.webjars.webjars-locator-core,0.26,2015-06-23,https://repo1.maven.org/maven2/org/webjars/webjars-locator-core/0.26/webjars-locator-core-0.26.jar,,,,,,,,0.27
35072,org.webjars.webjars-locator-core,0.27,2015-06-23,https://repo1.maven.org/maven2/org/webjars/webjars-locator-core/0.27/webjars-locator-core-0.27.jar,,,,,,,,0.28
35073,org.webjars.webjars-locator-core,0.28,2015-09-11,https://repo1.maven.org/maven2/org/webjars/webjars-locator-core/0.28/webjars-locator-core-0.28.jar,,,,,,,,0.29
35074,org.webjars.webjars-locator-core,0.29,2015-11-03,https://repo1.maven.org/maven2/org/webjars/webjars-locator-core/0.29/webjars-locator-core-0.29.jar,,,,,,,,0.30
35075,org.webjars.webjars-locator-core,0.30,2015-11-17,https://repo1.maven.org/maven2/org/webjars/webjars-locator-core/0.30/webjars-locator-core-0.30.jar,,,,,,,,0.31
35076,org.webjars.webjars-locator-core,0.31,2016-04-22,https://repo1.maven.org/maven2/org/webjars/webjars-locator-core/0.31/webjars-locator-core-0.31.jar,,,,,,,,0.32
35077,org.webjars.webjars-locator-core,0.32,2016-10-05,https://repo1.maven.org/maven2/org/webjars/webjars-locator-core/0.32/webjars-locator-core-0.32.jar,,,,,,,,0.33
35078,org.webjars.webjars-locator-core,0.33,2017-09-07,https://repo1.maven.org/maven2/org/webjars/webjars-locator-core/0.33/webjars-locator-core-0.33.jar,,,,,,,,0.34
35079,org.webjars.webjars-locator-core,0.34,2017-10-09,https://repo1.maven.org/maven2/org/webjars/webjars-locator-core/0.34/webjars-locator-core-0.34.jar,,,,,,,,0.35
35057,org.webjars.webjars-locator-core,0.35,2017-11-27,https://repo1.maven.org/maven2/org/webjars/webjars-locator-core/0.35/webjars-locator-core-0.35.jar,,,,,,,,0.36
35080,org.webjars.webjars-locator-core,0.36,2018-10-30,https://repo1.maven.org/maven2/org/webjars/webjars-locator-core/0.36/webjars-locator-core-0.36.jar,,,,,,,,0.37
35056,org.webjars.webjars-locator-core,0.37,2019-02-01,https://repo1.maven.org/maven2/org/webjars/webjars-locator-core/0.37/webjars-locator-core-0.37.jar,,,,,,,,0.38
35054,org.webjars.webjars-locator-core,0.38,2019-08-01,https://repo1.maven.org/maven2/org/webjars/webjars-locator-core/0.38/webjars-locator-core-0.38.jar,,,,,,,,0.39
35032,org.webjars.webjars-locator-core,0.39,2019-08-15,https://repo1.maven.org/maven2/org/webjars/webjars-locator-core/0.39/webjars-locator-core-0.39.jar,,,,,,,,0.40
35033,org.webjars.webjars-locator-core,0.40,2019-08-22,https://repo1.maven.org/maven2/org/webjars/webjars-locator-core/0.40/webjars-locator-core-0.40.jar,,,,,,,,0.41
35034,org.webjars.webjars-locator-core,0.41,2019-10-02,https://repo1.maven.org/maven2/org/webjars/webjars-locator-core/0.41/webjars-locator-core-0.41.jar,,,,,,,,0.42
35035,org.webjars.webjars-locator-core,0.42,2019-10-24,https://repo1.maven.org/maven2/org/webjars/webjars-locator-core/0.42/webjars-locator-core-0.42.jar,,,,,,,,0.43
35036,org.webjars.webjars-locator-core,0.43,2019-11-13,https://repo1.maven.org/maven2/org/webjars/webjars-locator-core/0.43/webjars-locator-core-0.43.jar,,,,,,,,0.44
35037,org.webjars.webjars-locator-core,0.44,2020-02-18,https://repo1.maven.org/maven2/org/webjars/webjars-locator-core/0.44/webjars-locator-core-0.44.jar,,,,,,,,0.45
35038,org.webjars.webjars-locator-core,0.45,2020-04-14,https://repo1.maven.org/maven2/org/webjars/webjars-locator-core/0.45/webjars-locator-core-0.45.jar,,,,,,,,0.46
35039,org.webjars.webjars-locator-core,0.46,2020-06-25,https://repo1.maven.org/maven2/org/webjars/webjars-locator-core/0.46/webjars-locator-core-0.46.jar,,,,,,,,0.47
