,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
33883,org.webjars.webjars-locator,0.1,2012-11-24,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.1/webjars-locator-0.1.jar,,,,,,,,0.2
33884,org.webjars.webjars-locator,0.2,2013-01-22,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.2/webjars-locator-0.2.jar,,,,,,,,0.3
33885,org.webjars.webjars-locator,0.3,2013-03-07,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.3/webjars-locator-0.3.jar,,,,,,,,0.4
33886,org.webjars.webjars-locator,0.4,2013-05-17,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.4/webjars-locator-0.4.jar,,,,,,,,0.5
33887,org.webjars.webjars-locator,0.5,2013-06-17,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.5/webjars-locator-0.5.jar,,,,,,,,0.6
33888,org.webjars.webjars-locator,0.6,2013-11-12,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.6/webjars-locator-0.6.jar,,,,,,,,0.7
33889,org.webjars.webjars-locator,0.7,2013-12-24,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.7/webjars-locator-0.7.jar,,,,,,,,0.8
33890,org.webjars.webjars-locator,0.8,2014-01-06,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.8/webjars-locator-0.8.jar,,,,,,,,0.9
33891,org.webjars.webjars-locator,0.9,2014-01-18,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.9/webjars-locator-0.9.jar,,,,,,,,0.10
33892,org.webjars.webjars-locator,0.10,2014-02-13,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.10/webjars-locator-0.10.jar,,,,,,,,0.11
33893,org.webjars.webjars-locator,0.11,2014-02-19,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.11/webjars-locator-0.11.jar,,,,,,,,0.12
33894,org.webjars.webjars-locator,0.12,2014-02-19,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.12/webjars-locator-0.12.jar,,,,,,,,0.13
33895,org.webjars.webjars-locator,0.13,2014-03-22,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.13/webjars-locator-0.13.jar,,,,,,,,0.14
33896,org.webjars.webjars-locator,0.14,2014-04-30,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.14/webjars-locator-0.14.jar,,,,,,,,0.15
33897,org.webjars.webjars-locator,0.15,2014-06-02,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.15/webjars-locator-0.15.jar,,,,,,,,0.16
33898,org.webjars.webjars-locator,0.16,2014-06-14,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.16/webjars-locator-0.16.jar,,,,,,,,0.17
33899,org.webjars.webjars-locator,0.17,2014-07-24,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.17/webjars-locator-0.17.jar,,,,,,,,0.18
33900,org.webjars.webjars-locator,0.18,2014-09-15,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.18/webjars-locator-0.18.jar,,,,,,,,0.19
33901,org.webjars.webjars-locator,0.19,2014-09-18,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.19/webjars-locator-0.19.jar,,,,,,,,0.20
33613,org.webjars.webjars-locator,0.20,2015-02-05,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.20/webjars-locator-0.20.jar,,,,,,,,0.21
34020,org.webjars.webjars-locator,0.21,2015-02-18,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.21/webjars-locator-0.21.jar,,,,,,,,0.22
33612,org.webjars.webjars-locator,0.22,2015-05-14,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.22/webjars-locator-0.22.jar,,,,,,,,0.23
33597,org.webjars.webjars-locator,0.23,2015-05-23,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.23/webjars-locator-0.23.jar,,,,,,,,0.24
33349,org.webjars.webjars-locator,0.24,2015-06-18,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.24/webjars-locator-0.24.jar,,,,,,,,0.25
33350,org.webjars.webjars-locator,0.25,2015-06-19,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.25/webjars-locator-0.25.jar,,,,,,,,0.25.1
33351,org.webjars.webjars-locator,0.25.1,2015-06-19,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.25-1/webjars-locator-0.25-1.jar,,,,,,,,0.26
33352,org.webjars.webjars-locator,0.26,2015-06-23,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.26/webjars-locator-0.26.jar,,,,,,,,0.27
33353,org.webjars.webjars-locator,0.27,2015-07-16,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.27/webjars-locator-0.27.jar,,,,,,,,0.28
33354,org.webjars.webjars-locator,0.28,2015-08-19,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.28/webjars-locator-0.28.jar,,,,,,,,0.29
33355,org.webjars.webjars-locator,0.29,2015-12-18,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.29/webjars-locator-0.29.jar,,,,,,,,0.30
33356,org.webjars.webjars-locator,0.30,2016-01-28,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.30/webjars-locator-0.30.jar,,,,,,,,0.31
33357,org.webjars.webjars-locator,0.31,2016-04-19,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.31/webjars-locator-0.31.jar,,,,,,,,0.32
33358,org.webjars.webjars-locator,0.32,2016-06-20,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.32/webjars-locator-0.32.jar,,,,,,,,0.32.1
33359,org.webjars.webjars-locator,0.32.1,2017-03-23,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.32-1/webjars-locator-0.32-1.jar,,,,,,,,0.33
33360,org.webjars.webjars-locator,0.33,2018-03-08,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.33/webjars-locator-0.33.jar,,,,,,,,0.34
33361,org.webjars.webjars-locator,0.34,2018-04-13,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.34/webjars-locator-0.34.jar,,,,,,,,0.35
33362,org.webjars.webjars-locator,0.35,2019-01-24,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.35/webjars-locator-0.35.jar,,,,,,,,0.36
33363,org.webjars.webjars-locator,0.36,2019-02-01,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.36/webjars-locator-0.36.jar,,,,,,,,0.37
33364,org.webjars.webjars-locator,0.37,2019-08-15,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.37/webjars-locator-0.37.jar,,,,,,,,0.38
33365,org.webjars.webjars-locator,0.38,2019-11-16,https://repo1.maven.org/maven2/org/webjars/webjars-locator/0.38/webjars-locator-0.38.jar,,,,,,,,0.39
