,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
82132,org.xerial.snappy.snappy-java,1.0.3,2011-07-11,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.0.3/snappy-java-1.0.3.jar,,,,,,,,1.0.3.1
82133,org.xerial.snappy.snappy-java,1.0.3.1,2011-08-02,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.0.3.1/snappy-java-1.0.3.1.jar,,,,,,,,1.0.3.2
82134,org.xerial.snappy.snappy-java,1.0.3.2,2011-08-23,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.0.3.2/snappy-java-1.0.3.2.jar,,,,,,,,1.0.3.3
82135,org.xerial.snappy.snappy-java,1.0.3.3,2011-09-09,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.0.3.3/snappy-java-1.0.3.3.jar,,,,,,,,1.0.4
82136,org.xerial.snappy.snappy-java,1.0.4,2011-09-22,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.0.4/snappy-java-1.0.4.jar,,,,,,,,1.0.4.1
82137,org.xerial.snappy.snappy-java,1.0.4.1,2011-10-05,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.0.4.1/snappy-java-1.0.4.1.jar,,,,,,,,1.0.5
82138,org.xerial.snappy.snappy-java,1.0.5,2013-05-17,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.0.5/snappy-java-1.0.5.jar,,,,,,,,1.0.5.1
82139,org.xerial.snappy.snappy-java,1.0.5.1,2014-06-12,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.0.5.1/snappy-java-1.0.5.1.jar,,,,,,,,1.0.5.2
82140,org.xerial.snappy.snappy-java,1.0.5.2,2014-06-26,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.0.5.2/snappy-java-1.0.5.2.jar,,,,,,,,1.0.5.3
82141,org.xerial.snappy.snappy-java,1.0.5.3,2014-08-17,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.0.5.3/snappy-java-1.0.5.3.jar,,,,,,,,1.0.5.4
82142,org.xerial.snappy.snappy-java,1.0.5.4,2014-09-12,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.0.5.4/snappy-java-1.0.5.4.jar,,,,,,,,1.1.0
80475,org.xerial.snappy.snappy-java,1.1.0,2013-10-17,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.1.0/snappy-java-1.1.0.jar,,,,,,,,1.1.0.1
80476,org.xerial.snappy.snappy-java,1.1.0.1,2013-11-07,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.1.0.1/snappy-java-1.1.0.1.jar,,,,,,,,1.1.1
80477,org.xerial.snappy.snappy-java,1.1.1,2014-07-13,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.1.1/snappy-java-1.1.1.jar,,,,,,,,1.1.1.1
80479,org.xerial.snappy.snappy-java,1.1.1.1,2014-07-14,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.1.1.1/snappy-java-1.1.1.1.jar,,,,,,,,1.1.1.2
80497,org.xerial.snappy.snappy-java,1.1.1.2,2014-07-18,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.1.1.2/snappy-java-1.1.1.2.jar,,,,,,,,1.1.1.3
80518,org.xerial.snappy.snappy-java,1.1.1.3,2014-07-18,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.1.1.3/snappy-java-1.1.1.3.jar,,,,,,,,1.1.1.4
80498,org.xerial.snappy.snappy-java,1.1.1.4,2014-10-23,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.1.1.4/snappy-java-1.1.1.4.jar,,,,,,,,1.1.1.5
80521,org.xerial.snappy.snappy-java,1.1.1.5,2014-10-24,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.1.1.5/snappy-java-1.1.1.5.jar,,,,,,,,1.1.1.6
80522,org.xerial.snappy.snappy-java,1.1.1.6,2014-10-26,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.1.1.6/snappy-java-1.1.1.6.jar,,,,,,,,1.1.1.7
80523,org.xerial.snappy.snappy-java,1.1.1.7,2015-04-14,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.1.1.7/snappy-java-1.1.1.7.jar,,,,,,,,1.1.2
80524,org.xerial.snappy.snappy-java,1.1.2,2015-09-22,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.1.2/snappy-java-1.1.2.jar,,,,,,,,1.1.2.1
80525,org.xerial.snappy.snappy-java,1.1.2.1,2016-01-22,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.1.2.1/snappy-java-1.1.2.1.jar,,,,,,,,1.1.2.2
80526,org.xerial.snappy.snappy-java,1.1.2.2,2016-03-29,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.1.2.2/snappy-java-1.1.2.2.jar,,,,,,,,1.1.2.3
80527,org.xerial.snappy.snappy-java,1.1.2.3,2016-03-31,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.1.2.3/snappy-java-1.1.2.3.jar,,,,,,,,1.1.2.4
80528,org.xerial.snappy.snappy-java,1.1.2.4,2016-03-31,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.1.2.4/snappy-java-1.1.2.4.jar,,,,,,,,1.1.2.5
80529,org.xerial.snappy.snappy-java,1.1.2.5,2016-06-02,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.1.2.5/snappy-java-1.1.2.5.jar,,,,,,,,1.1.2.6
80530,org.xerial.snappy.snappy-java,1.1.2.6,2016-06-02,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.1.2.6/snappy-java-1.1.2.6.jar,,,,,,,,1.1.4
80531,org.xerial.snappy.snappy-java,1.1.4,2017-05-22,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.1.4/snappy-java-1.1.4.jar,,,,,,,,1.1.7
80532,org.xerial.snappy.snappy-java,1.1.7,2017-12-01,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.1.7/snappy-java-1.1.7.jar,,,,,,,,1.1.7.1
80533,org.xerial.snappy.snappy-java,1.1.7.1,2017-12-07,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.1.7.1/snappy-java-1.1.7.1.jar,,,,,,,,1.1.7.2
80520,org.xerial.snappy.snappy-java,1.1.7.2,2018-05-21,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.1.7.2/snappy-java-1.1.7.2.jar,,,,,,,,1.1.7.3
80534,org.xerial.snappy.snappy-java,1.1.7.3,2019-03-26,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.1.7.3/snappy-java-1.1.7.3.jar,,,,,,,,1.1.7.4
80519,org.xerial.snappy.snappy-java,1.1.7.4,2020-05-05,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.1.7.4/snappy-java-1.1.7.4.jar,,,,,,,,1.1.7.5
80517,org.xerial.snappy.snappy-java,1.1.7.5,2020-05-06,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.1.7.5/snappy-java-1.1.7.5.jar,,,,,,,,1.1.7.6
80499,org.xerial.snappy.snappy-java,1.1.7.6,2020-06-26,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.1.7.6/snappy-java-1.1.7.6.jar,,,,,,,,1.1.7.7
80500,org.xerial.snappy.snappy-java,1.1.7.7,2020-08-26,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.1.7.7/snappy-java-1.1.7.7.jar,,,,,,,,1.1.7.8
80501,org.xerial.snappy.snappy-java,1.1.7.8,2020-10-21,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.1.7.8/snappy-java-1.1.7.8.jar,,,,,,,,1.1.8
80502,org.xerial.snappy.snappy-java,1.1.8,2020-10-21,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.1.8/snappy-java-1.1.8.jar,,,,,,,,1.1.8.1
80503,org.xerial.snappy.snappy-java,1.1.8.1,2020-11-09,https://repo1.maven.org/maven2/org/xerial/snappy/snappy-java/1.1.8.1/snappy-java-1.1.8.1.jar,,,,,,,,1.1.8.2
