,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
95660,software.amazon.awssdk.dynamodb,1.9.0,2014-10-08,https://repo1.maven.org/maven2/com/amazonaws/aws-java-sdk-dynamodb/1.9.0/aws-java-sdk-dynamodb-1.9.0.jar,49,,,,,,,1.9.1
95583,software.amazon.awssdk.dynamodb,1.9.1,2014-10-16,https://repo1.maven.org/maven2/com/amazonaws/aws-java-sdk-dynamodb/1.9.1/aws-java-sdk-dynamodb-1.9.1.jar,49,0,0,0,0,0,0,1.9.2
95582,software.amazon.awssdk.dynamodb,1.9.2,2014-10-23,https://repo1.maven.org/maven2/com/amazonaws/aws-java-sdk-dynamodb/1.9.2/aws-java-sdk-dynamodb-1.9.2.jar,49,0,0,0,0,0,0,1.9.3
95581,software.amazon.awssdk.dynamodb,1.9.3,2014-10-24,https://repo1.maven.org/maven2/com/amazonaws/aws-java-sdk-dynamodb/1.9.3/aws-java-sdk-dynamodb-1.9.3.jar,49,0,0,0,0,0,0,1.9.4
95580,software.amazon.awssdk.dynamodb,1.9.4,2014-11-07,https://repo1.maven.org/maven2/com/amazonaws/aws-java-sdk-dynamodb/1.9.4/aws-java-sdk-dynamodb-1.9.4.jar,49,0,0,0,0,0,0,1.9.5
95579,software.amazon.awssdk.dynamodb,1.9.5,2014-11-12,https://repo1.maven.org/maven2/com/amazonaws/aws-java-sdk-dynamodb/1.9.5/aws-java-sdk-dynamodb-1.9.5.jar,49,0,0,0,0,0,0,1.9.6
95578,software.amazon.awssdk.dynamodb,1.9.6,2014-11-13,https://repo1.maven.org/maven2/com/amazonaws/aws-java-sdk-dynamodb/1.9.6/aws-java-sdk-dynamodb-1.9.6.jar,49,0,0,0,0,0,0,1.9.7
95584,software.amazon.awssdk.dynamodb,1.9.7,2014-11-20,https://repo1.maven.org/maven2/com/amazonaws/aws-java-sdk-dynamodb/1.9.7/aws-java-sdk-dynamodb-1.9.7.jar,49,0,0,0,0,0,0,1.9.8
95577,software.amazon.awssdk.dynamodb,1.9.8,2014-11-26,https://repo1.maven.org/maven2/com/amazonaws/aws-java-sdk-dynamodb/1.9.8/aws-java-sdk-dynamodb-1.9.8.jar,49,0,0,0,0,0,0,1.9.9
95575,software.amazon.awssdk.dynamodb,1.9.9,2014-12-04,https://repo1.maven.org/maven2/com/amazonaws/aws-java-sdk-dynamodb/1.9.9/aws-java-sdk-dynamodb-1.9.9.jar,49,0,0,0,0,0,0,1.9.10
95574,software.amazon.awssdk.dynamodb,1.9.10,2014-12-09,https://repo1.maven.org/maven2/com/amazonaws/aws-java-sdk-dynamodb/1.9.10/aws-java-sdk-dynamodb-1.9.10.jar,49,0,0,0,0,0,0,1.9.11
95573,software.amazon.awssdk.dynamodb,1.9.11,2014-12-12,https://repo1.maven.org/maven2/com/amazonaws/aws-java-sdk-dynamodb/1.9.11/aws-java-sdk-dynamodb-1.9.11.jar,49,0,0,0,0,0,0,1.9.12
95572,software.amazon.awssdk.dynamodb,1.9.12,2014-12-17,https://repo1.maven.org/maven2/com/amazonaws/aws-java-sdk-dynamodb/1.9.12/aws-java-sdk-dynamodb-1.9.12.jar,49,0,0,0,0,0,0,1.9.13
95571,software.amazon.awssdk.dynamodb,1.9.13,2014-12-18,https://repo1.maven.org/maven2/com/amazonaws/aws-java-sdk-dynamodb/1.9.13/aws-java-sdk-dynamodb-1.9.13.jar,49,0,0,0,0,0,0,1.9.14
95570,software.amazon.awssdk.dynamodb,1.9.14,2015-01-08,https://repo1.maven.org/maven2/com/amazonaws/aws-java-sdk-dynamodb/1.9.14/aws-java-sdk-dynamodb-1.9.14.jar,49,0,0,0,0,0,0,1.9.15
