,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
101801,software.amazon.awssdk.kinesis,1.9.0,2014-10-08,https://repo1.maven.org/maven2/com/amazonaws/aws-java-sdk-kinesis/1.9.0/aws-java-sdk-kinesis-1.9.0.jar,24,,,,,,,1.9.1
101800,software.amazon.awssdk.kinesis,1.9.1,2014-10-16,https://repo1.maven.org/maven2/com/amazonaws/aws-java-sdk-kinesis/1.9.1/aws-java-sdk-kinesis-1.9.1.jar,24,0,0,0,0,0,0,1.9.2
101799,software.amazon.awssdk.kinesis,1.9.2,2014-10-23,https://repo1.maven.org/maven2/com/amazonaws/aws-java-sdk-kinesis/1.9.2/aws-java-sdk-kinesis-1.9.2.jar,24,0,0,0,0,0,0,1.9.3
101798,software.amazon.awssdk.kinesis,1.9.3,2014-10-24,https://repo1.maven.org/maven2/com/amazonaws/aws-java-sdk-kinesis/1.9.3/aws-java-sdk-kinesis-1.9.3.jar,24,0,0,0,0,0,0,1.9.4
101797,software.amazon.awssdk.kinesis,1.9.4,2014-11-07,https://repo1.maven.org/maven2/com/amazonaws/aws-java-sdk-kinesis/1.9.4/aws-java-sdk-kinesis-1.9.4.jar,24,0,0,0,0,0,0,1.9.5
101796,software.amazon.awssdk.kinesis,1.9.5,2014-11-12,https://repo1.maven.org/maven2/com/amazonaws/aws-java-sdk-kinesis/1.9.5/aws-java-sdk-kinesis-1.9.5.jar,24,0,0,0,0,0,0,1.9.6
101795,software.amazon.awssdk.kinesis,1.9.6,2014-11-13,https://repo1.maven.org/maven2/com/amazonaws/aws-java-sdk-kinesis/1.9.6/aws-java-sdk-kinesis-1.9.6.jar,24,0,0,0,0,0,0,1.9.7
101794,software.amazon.awssdk.kinesis,1.9.7,2014-11-20,https://repo1.maven.org/maven2/com/amazonaws/aws-java-sdk-kinesis/1.9.7/aws-java-sdk-kinesis-1.9.7.jar,24,0,0,0,0,0,0,1.9.8
101793,software.amazon.awssdk.kinesis,1.9.8,2014-11-26,https://repo1.maven.org/maven2/com/amazonaws/aws-java-sdk-kinesis/1.9.8/aws-java-sdk-kinesis-1.9.8.jar,24,0,0,0,0,0,0,1.9.9
101792,software.amazon.awssdk.kinesis,1.9.9,2014-12-04,https://repo1.maven.org/maven2/com/amazonaws/aws-java-sdk-kinesis/1.9.9/aws-java-sdk-kinesis-1.9.9.jar,28,0,0,0,0,4,0,1.9.10
